root,range_ratio_bin,days,comparable_next_state_days,mean_range,median_range,mean_close_to_close_return_points,median_close_to_close_return_points,mean_trendiness,median_trendiness,mean_signed_trendiness,median_signed_trendiness,same_state_next_day_probability
MNQ,lt_0_7,265,265,261.87735849056605,219.25,14.267924528301887,15.5,0.45523188964674866,0.4582043343653251,0.07135297109498727,0.08051948051948052,0.4528301886792453
MNQ,0_7_to_0_9,152,151,242.76973684210526,222.875,22.50657894736842,16.75,0.4485503078920595,0.4473434043141593,0.0852068265077787,0.07784548830594185,0.4370860927152318
MNQ,0_9_to_1_1,155,155,294.6532258064516,264.75,-18.183870967741935,4.75,0.5049329398312453,0.5163081193615545,-0.012338853446201082,-0.02100840336134454,0.23225806451612904
MNQ,1_1_to_1_3,121,121,287.9876033057851,274.0,39.6900826446281,49.0,0.5186209213901727,0.509090909090909,0.16630765331299566,0.3202614379084967,0.2975206611570248
MNQ,gt_1_3,222,222,330.32094594594594,256.25,19.9527027027027,33.125,0.4656128600741011,0.4683895297249335,0.087507380143819,0.13903309629530708,0.4099099099099099
NQ,lt_0_7,264,263,260.2935606060606,219.0,12.276515151515152,13.25,0.45392156663573696,0.4618111727879047,0.06556207160288587,0.08000786397587087,0.4524714828897338
NQ,0_7_to_0_9,150,150,242.74333333333334,224.625,25.188333333333333,21.125,0.4543343874003068,0.4608752928952363,0.09661302478518,0.08912169317717125,0.4
NQ,0_9_to_1_1,153,153,293.34640522875816,263.5,-25.004901960784313,4.25,0.505773804527967,0.5170068027210885,-0.02709880669369224,-0.07255139056831923,0.24836601307189543
NQ,1_1_to_1_3,124,124,290.2540322580645,269.125,45.167338709677416,52.875,0.5258404814539461,0.516942651106007,0.17641556765175256,0.33575202505292256,0.2903225806451613
NQ,gt_1_3,224,224,331.58705357142856,262.625,21.5234375,33.5,0.46712384735445217,0.4679763201124488,0.08993887627559807,0.13875612694077616,0.4107142857142857
