signal,root,state,slippage_ticks_per_side,largest_winner_share,best_day_share,best_week_share,net_excluding_largest,skip_reason
donchian_simple_60m,MNQ,unconditional,1.0,0.0,0.0,0.0,-6405.5,
donchian_simple_60m,MNQ,compression,1.0,0.0,0.0,0.0,-2532.0,
donchian_simple_60m,MNQ,neutral,1.0,0.361714621256606,0.48561362301820316,0.5196711685261304,1630.5,
donchian_simple_60m,MNQ,expansion,1.0,0.0,0.0,0.0,-7205.5,
donchian_simple_60m,NQ,unconditional,1.0,0.0,0.0,0.0,-49635.0,
donchian_simple_60m,NQ,compression,1.0,0.0,0.0,0.0,-9900.0,
donchian_simple_60m,NQ,neutral,1.0,0.3898840885142255,0.5222339304531085,0.5580611169652265,14475.0,
donchian_simple_60m,NQ,expansion,1.0,0.0,0.0,0.0,-71225.0,
donchian_simple_60m,MNQ,unconditional,2.0,0.0,0.0,0.0,-7627.5,
donchian_simple_60m,MNQ,compression,2.0,0.0,0.0,0.0,-2980.0,
donchian_simple_60m,MNQ,neutral,2.0,0.4282069125492925,0.5745766643470193,0.6126188819299466,1232.5,
donchian_simple_60m,MNQ,expansion,2.0,0.0,0.0,0.0,-7552.5,
donchian_simple_60m,NQ,unconditional,2.0,0.0,0.0,0.0,-61895.0,
donchian_simple_60m,NQ,compression,2.0,0.0,0.0,0.0,-14410.0,
donchian_simple_60m,NQ,neutral,2.0,0.46844106463878327,0.6271229404309252,0.667680608365019,10485.0,
donchian_simple_60m,NQ,expansion,2.0,0.0,0.0,0.0,-74695.0,
rsi_reversion_30m,MNQ,compression,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,MNQ,neutral,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,MNQ,expansion,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,MNQ,unconditional,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,NQ,compression,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,NQ,neutral,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,NQ,expansion,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,NQ,unconditional,1.0,,,,,rsi_exact_frozen_definition_not_recovered_without_inference
