signal,root,state,slippage_ticks_per_side,trades,net_dollars,profit_factor,max_drawdown_dollars,win_rate,passes_cost_and_concentration_gates,skip_reason
donchian_simple_60m,MNQ,compression,1.0,449,-1847.5,0.9311828357514015,3265.5,0.48106904231625836,False,
donchian_simple_60m,MNQ,neutral,1.0,399,2554.5,1.0994065570580795,5692.5,0.5338345864661654,False,
donchian_simple_60m,MNQ,expansion,1.0,348,-5576.5,0.8010737345271645,6313.0,0.47701149425287354,False,
donchian_simple_60m,NQ,compression,1.0,452,-3050.0,0.9881359887972615,33905.0,0.48672566371681414,False,
donchian_simple_60m,NQ,neutral,1.0,400,23725.0,1.0922182920667003,64985.0,0.53,False,
donchian_simple_60m,NQ,expansion,1.0,348,-54915.0,0.8048021895994029,61060.0,0.4827586206896552,False,
donchian_simple_60m,MNQ,compression,2.0,449,-2296.5,0.9151957163958641,3459.5,0.47438752783964366,False,
donchian_simple_60m,MNQ,neutral,2.0,399,2155.5,1.0832753824756607,5778.5,0.5288220551378446,False,
donchian_simple_60m,MNQ,expansion,2.0,348,-5924.5,0.7900230373914584,6632.0,0.47701149425287354,False,
donchian_simple_60m,NQ,compression,2.0,452,-7570.0,0.9708183955899927,35885.0,0.4823008849557522,False,
donchian_simple_60m,NQ,neutral,2.0,400,19725.0,1.076114219563959,65895.0,0.525,False,
donchian_simple_60m,NQ,expansion,2.0,348,-58395.0,0.7937519867198813,64430.0,0.47701149425287354,False,
rsi_reversion_30m,MNQ,compression,1.0,0,,,,,False,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,MNQ,neutral,1.0,0,,,,,False,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,MNQ,expansion,1.0,0,,,,,False,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,NQ,compression,1.0,0,,,,,False,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,NQ,neutral,1.0,0,,,,,False,rsi_exact_frozen_definition_not_recovered_without_inference
rsi_reversion_30m,NQ,expansion,1.0,0,,,,,False,rsi_exact_frozen_definition_not_recovered_without_inference
