root,year,state,days,share
MNQ,2023,compression,93,0.32068965517241377
MNQ,2023,expansion,90,0.3103448275862069
MNQ,2023,neutral,107,0.3689655172413793
MNQ,2024,compression,118,0.3769968051118211
MNQ,2024,expansion,103,0.329073482428115
MNQ,2024,neutral,92,0.2939297124600639
MNQ,2025,compression,129,0.41346153846153844
MNQ,2025,expansion,92,0.2948717948717949
MNQ,2025,neutral,91,0.2916666666666667
NQ,2023,compression,94,0.32413793103448274
NQ,2023,expansion,91,0.3137931034482759
NQ,2023,neutral,105,0.3620689655172414
NQ,2024,compression,118,0.3769968051118211
NQ,2024,expansion,104,0.33226837060702874
NQ,2024,neutral,91,0.29073482428115016
NQ,2025,compression,128,0.41025641025641024
NQ,2025,expansion,92,0.2948717948717949
NQ,2025,neutral,92,0.2948717948717949
