root,globex_range_ratio_bin,state,days,mean_rth_morning_range,median_rth_morning_range,mean_rth_morning_range_div_atr20,median_rth_morning_range_div_atr20,mean_trendiness,median_trendiness,mean_signed_trendiness,median_signed_trendiness,breached_globex_high_rate,breached_globex_low_rate,closed_outside_globex_range_rate,failed_breakout_reentry_rate,mean_max_extension_beyond_globex_range,median_max_extension_beyond_globex_range
MNQ,lt_0_5,lt_0_5,37,92.85810810810811,82.25,0.32643116912989756,0.3400686237133054,0.401213931345226,0.4228395061728395,-0.05917291953152596,-0.15405777166437415,0.5405405405405406,0.6486486486486487,0.5405405405405406,0.3783783783783784,37.7027027027027,24.25
MNQ,0_5_to_0_7,0_5_to_0_7,123,150.58333333333334,136.5,0.5379217020527469,0.48036497003309775,0.44923281026153233,0.4503424657534247,-0.02826565401010178,-0.043478260869565216,0.5609756097560976,0.5691056910569106,0.5609756097560976,0.3902439024390244,73.1930894308943,52.5
MNQ,0_7_to_0_9,0_7_to_0_9,160,162.9734375,145.5,0.6155518684720712,0.5649938857797827,0.5298907987955822,0.5770639710857102,0.0818311188077942,0.10855817317445338,0.61875,0.5,0.575,0.3625,74.38125,54.0
MNQ,0_9_to_1_1,0_9_to_1_1,123,169.1178861788618,145.25,0.6285637797569742,0.593090437448414,0.4846699314219723,0.5074626865671642,0.12005042625903344,0.2189922480620155,0.5528455284552846,0.4146341463414634,0.5040650406504065,0.36585365853658536,77.22154471544715,63.5
MNQ,1_1_to_1_3,1_1_to_1_3,88,175.17329545454547,153.75,0.6443951806290813,0.6119567200084288,0.4378048592780456,0.45195665063574675,0.05260774011068301,0.07571733767690002,0.4772727272727273,0.375,0.3977272727272727,0.375,63.5,46.0
MNQ,gt_1_3,gt_1_3,222,225.6858108108108,188.875,0.7994606545229659,0.7400829633650503,0.47535010438440156,0.48110708925576057,-0.009061547571806014,-0.0215734566323567,0.45495495495495497,0.4099099099099099,0.44594594594594594,0.35585585585585583,78.41891891891892,56.125
NQ,lt_0_5,lt_0_5,37,94.04054054054055,83.0,0.33139471146845234,0.3307126553385747,0.4174885851230224,0.4467680608365019,-0.029129384379839637,-0.10196078431372549,0.6216216216216216,0.6216216216216216,0.5405405405405406,0.40540540540540543,39.57432432432432,24.5
NQ,0_5_to_0_7,0_5_to_0_7,128,146.396484375,132.375,0.5354007389304798,0.47772579854658537,0.44746589405092924,0.4453947600098602,-0.02341059805122427,-0.05084919343231364,0.5625,0.5859375,0.546875,0.4140625,70.697265625,49.125
NQ,0_7_to_0_9,0_7_to_0_9,156,165.90705128205127,151.25,0.6189967606002615,0.5791716481316193,0.5303381050698212,0.5819916797894094,0.06887850549226505,0.09932664593388271,0.6089743589743589,0.5,0.5641025641025641,0.3525641025641026,74.55608974358974,55.5
NQ,0_9_to_1_1,0_9_to_1_1,118,169.67161016949152,147.125,0.6274329937753033,0.5910587968253824,0.48649455932527674,0.5042268010121183,0.10133339586430472,0.18764644623795887,0.5508474576271186,0.4152542372881356,0.5169491525423728,0.3644067796610169,78.38559322033899,63.625
NQ,1_1_to_1_3,1_1_to_1_3,94,174.22074468085106,152.5,0.6460096097666149,0.6108540444982307,0.4448216565709106,0.4586529281206215,0.07663891345362492,0.1585530593079535,0.48936170212765956,0.3829787234042553,0.44680851063829785,0.3404255319148936,64.97340425531915,48.375
NQ,gt_1_3,gt_1_3,220,225.68977272727273,188.75,0.7971777786865547,0.7237605277770163,0.4756091369943245,0.4816676916499778,-0.0034455265829437002,-0.022280860904978078,0.4590909090909091,0.40454545454545454,0.43636363636363634,0.36818181818181817,78.41363636363636,53.125
