root,session_date,globex_first_timestamp,globex_last_timestamp,globex_open,globex_high,globex_low,globex_close,globex_volume,globex_bar_count,rth_morning_first_timestamp,rth_morning_last_timestamp,rth_morning_open,rth_morning_high,rth_morning_low,rth_morning_close,rth_morning_volume,rth_morning_bar_count,rth_morning_atr20,cohort,globex_range,globex_reference_median_20,globex_range_ratio,globex_state,globex_range_ratio_bin,rth_morning_range,rth_morning_range_div_atr20,rth_morning_trendiness,rth_morning_signed_trendiness,breached_globex_high,breached_globex_low,closed_outside_globex_range,max_extension_beyond_globex_range,failed_breakout_reentry,year,month,week
MNQ,2023-01-03,2023-01-02 23:00:00+00:00,2023-01-03 14:29:00+00:00,11117.0,11170.75,10951.75,11119.25,370758,930,2023-01-03 14:30:00+00:00,2023-01-03 16:29:00+00:00,11119.5,11181.75,10891.0,10914.5,374931,120,,primary_2023_2025,219.0,,,unclassified,,290.75,,0.705073086844368,-0.705073086844368,True,True,True,60.75,False,2023,2023-01,2023-W01
MNQ,2023-01-04,2023-01-03 23:00:00+00:00,2023-01-04 14:29:00+00:00,10941.75,11051.25,10923.25,11034.0,271917,930,2023-01-04 14:30:00+00:00,2023-01-04 16:29:00+00:00,11033.75,11046.75,10863.25,10992.5,443889,120,,primary_2023_2025,128.0,,,unclassified,,183.5,,0.22479564032697547,-0.22479564032697547,False,True,False,60.0,True,2023,2023-01,2023-W01
MNQ,2023-01-05,2023-01-04 23:00:00+00:00,2023-01-05 14:29:00+00:00,10983.75,11046.25,10889.25,10922.5,323096,930,2023-01-05 14:30:00+00:00,2023-01-05 16:29:00+00:00,10922.25,10927.25,10814.75,10848.25,382020,120,,primary_2023_2025,157.0,,,unclassified,,112.5,,0.6577777777777778,-0.6577777777777778,False,True,True,74.5,False,2023,2023-01,2023-W01
MNQ,2023-01-06,2023-01-05 23:00:00+00:00,2023-01-06 14:29:00+00:00,10837.75,10969.25,10751.0,10891.0,385437,930,2023-01-06 14:30:00+00:00,2023-01-06 16:29:00+00:00,10890.5,11022.25,10766.5,10986.5,513370,120,,primary_2023_2025,218.25,,,unclassified,,255.75,,0.375366568914956,0.375366568914956,True,False,True,53.0,False,2023,2023-01,2023-W01
MNQ,2023-01-09,2023-01-08 23:00:00+00:00,2023-01-09 14:29:00+00:00,11128.75,11205.5,11120.25,11199.75,257626,930,2023-01-09 14:30:00+00:00,2023-01-09 16:29:00+00:00,11199.5,11385.5,11194.5,11373.5,361620,120,,primary_2023_2025,85.25,,,unclassified,,191.0,,0.9109947643979057,0.9109947643979057,True,False,True,180.0,False,2023,2023-01,2023-W02
MNQ,2023-01-10,2023-01-09 23:00:00+00:00,2023-01-10 14:29:00+00:00,11181.25,11205.75,11094.25,11143.0,294074,930,2023-01-10 14:30:00+00:00,2023-01-10 16:29:00+00:00,11143.0,11283.25,11120.75,11194.75,502529,120,,primary_2023_2025,111.5,,,unclassified,,162.5,,0.31846153846153846,0.31846153846153846,True,False,False,77.5,True,2023,2023-01,2023-W02
MNQ,2023-01-11,2023-01-10 23:00:00+00:00,2023-01-11 14:29:00+00:00,11281.75,11334.25,11239.5,11323.5,210469,930,2023-01-11 14:30:00+00:00,2023-01-11 16:29:00+00:00,11323.75,11388.75,11290.75,11369.25,369818,120,,primary_2023_2025,94.75,,,unclassified,,98.0,,0.4642857142857143,0.4642857142857143,True,False,True,54.5,False,2023,2023-01,2023-W02
MNQ,2023-01-12,2023-01-11 23:00:00+00:00,2023-01-12 14:29:00+00:00,11471.75,11580.0,11288.5,11490.25,423370,930,2023-01-12 14:30:00+00:00,2023-01-12 16:29:00+00:00,11490.25,11518.5,11311.0,11450.75,585652,120,,primary_2023_2025,291.5,,,unclassified,,207.5,,0.19036144578313252,-0.19036144578313252,False,False,False,0.0,False,2023,2023-01,2023-W02
MNQ,2023-01-13,2023-01-12 23:00:00+00:00,2023-01-13 14:29:00+00:00,11529.75,11536.25,11389.5,11424.25,276776,930,2023-01-13 14:30:00+00:00,2023-01-13 16:29:00+00:00,11424.5,11538.5,11408.5,11485.25,374480,120,,primary_2023_2025,146.75,,,unclassified,,130.0,,0.4673076923076923,0.4673076923076923,True,False,False,2.25,True,2023,2023-01,2023-W02
MNQ,2023-01-16,2023-01-15 23:00:00+00:00,2023-01-16 14:29:00+00:00,11612.5,11638.25,11510.25,11590.75,166013,930,2023-01-16 14:30:00+00:00,2023-01-16 16:29:00+00:00,11590.5,11611.0,11581.5,11586.75,41594,120,,primary_2023_2025,128.0,,,unclassified,,29.5,,0.1271186440677966,-0.1271186440677966,False,False,False,0.0,False,2023,2023-01,2023-W03
MNQ,2023-01-17,2023-01-16 23:00:00+00:00,2023-01-17 14:29:00+00:00,11571.5,11604.25,11530.0,11598.5,236313,930,2023-01-17 14:30:00+00:00,2023-01-17 16:29:00+00:00,11598.5,11685.0,11549.25,11582.75,408375,120,,primary_2023_2025,74.25,,,unclassified,,135.75,,0.11602209944751381,-0.11602209944751381,True,False,False,80.75,True,2023,2023-01,2023-W03
MNQ,2023-01-18,2023-01-17 23:00:00+00:00,2023-01-18 14:29:00+00:00,11622.0,11721.75,11582.0,11695.0,313367,930,2023-01-18 14:30:00+00:00,2023-01-18 16:29:00+00:00,11694.75,11759.5,11541.75,11564.25,505892,120,,primary_2023_2025,139.75,,,unclassified,,217.75,,0.5993111366245695,-0.5993111366245695,True,True,True,40.25,False,2023,2023-01,2023-W03
MNQ,2023-01-19,2023-01-18 23:00:00+00:00,2023-01-19 14:29:00+00:00,11470.0,11486.75,11344.75,11407.5,293690,930,2023-01-19 14:30:00+00:00,2023-01-19 16:29:00+00:00,11407.5,11446.75,11321.25,11331.75,429895,120,,primary_2023_2025,142.0,,,unclassified,,125.5,,0.603585657370518,-0.603585657370518,False,True,True,23.5,False,2023,2023-01,2023-W03
