root,combined_state,target_window,question,days,median_rest_rth_range_div_first_hour_range,new_session_high_or_low_after_10_30_rate,median_lunch_range_div_morning_range,lunch_range_contraction_rate,mean_chop_index,mean_first_hour_vwap_cross_count,vwap_cross_rate
MNQ,unconditional_eligible,all,All sessions with classified child-state inputs.,753,1.3421052631578947,0.8472775564409031,0.7,0.2098273572377158,0.5089191190619802,14.07038512616202,0.598937583001328
MNQ,globex_compression__inside_trapped,rest_of_rth,Overnight compression plus first-hour containment for internal rest-of-RTH expansion and lower full-boundary extension.,19,2.096938775510204,0.7894736842105263,0.7427007299270073,0.0,0.4986879735474635,12.31578947368421,0.7894736842105263
MNQ,globex_expansion__inside_broken,rest_of_rth,Overnight expansion plus first-hour boundary break for continuation/full-session extension.,162,1.2745444302398647,0.8148148148148148,0.701477033032295,0.21604938271604937,0.509783003568524,13.833333333333334,0.5864197530864198
MNQ,morning_exhaustion__inside_trapped,lunch,Morning exhaustion plus first-hour containment for lunch contraction.,15,1.2491408934707904,0.8,0.6819713563605728,0.3333333333333333,0.5113897605791397,6.866666666666666,0.26666666666666666
MNQ,morning_exhaustion__inside_broken,lunch,Morning exhaustion plus first-hour boundary break for lunch contraction.,119,1.09024612579763,0.8739495798319328,0.5213726670680313,0.44537815126050423,0.5080967015360238,8.974789915966387,0.46218487394957986
MNQ,globex_compression__morning_exhaustion,lunch,Coiled Spring plus morning exhaustion for lunch contraction.,12,0.9089500385263172,0.75,0.39400874721167223,0.5833333333333334,0.5102692654166586,11.916666666666666,0.6666666666666666
MNQ,globex_expansion__morning_exhaustion,lunch,Globex expansion plus morning exhaustion for lunch contraction.,78,1.0775585622136434,0.8589743589743589,0.5963735018372884,0.38461538461538464,0.5087216969609372,8.935897435897436,0.4230769230769231
NQ,unconditional_eligible,all,All sessions with classified child-state inputs.,753,1.3468468468468469,0.849933598937583,0.6975381008206331,0.21115537848605578,0.5086746886705873,13.758300132802125,0.5962815405046481
NQ,globex_compression__inside_trapped,rest_of_rth,Overnight compression plus first-hour containment for internal rest-of-RTH expansion and lower full-boundary extension.,18,2.2263543031891655,0.8888888888888888,0.7430375465103168,0.05555555555555555,0.49542239663034476,13.38888888888889,0.7777777777777778
NQ,globex_expansion__inside_broken,rest_of_rth,Overnight expansion plus first-hour boundary break for continuation/full-session extension.,160,1.2848860619666111,0.825,0.6992601707531978,0.225,0.5082871809268547,13.66875,0.5875
NQ,morning_exhaustion__inside_trapped,lunch,Morning exhaustion plus first-hour containment for lunch contraction.,15,1.2577854671280275,0.8,0.6752425137072965,0.3333333333333333,0.5169114257506429,6.666666666666667,0.26666666666666666
NQ,morning_exhaustion__inside_broken,lunch,Morning exhaustion plus first-hour boundary break for lunch contraction.,120,1.0898617101909749,0.875,0.5241346212236693,0.44166666666666665,0.507441387332113,8.625,0.4666666666666667
NQ,globex_compression__morning_exhaustion,lunch,Coiled Spring plus morning exhaustion for lunch contraction.,12,0.9095352060743451,0.75,0.3940097149598729,0.5833333333333334,0.5092543476449426,12.166666666666666,0.6666666666666666
NQ,globex_expansion__morning_exhaustion,lunch,Globex expansion plus morning exhaustion for lunch contraction.,77,1.0838126540673787,0.8571428571428571,0.6010165184243964,0.37662337662337664,0.5080579346751903,8.805194805194805,0.44155844155844154
