root,target_window,combined_state,metric,direction,combined_days,unconditional_days,best_individual_label,best_individual_days,unconditional_value,best_individual_value,combined_value,lift_vs_unconditional,lift_vs_best_individual,materially_improves_best_individual,concentration_days,years_with_min_rows,sparse,concentrated
MNQ,rest_of_rth,globex_compression__inside_trapped,median_rest_rth_range_div_first_hour_range,higher,19,753,inside_trapped,156,1.3421052631578947,1.5382214341235911,2.096938775510204,0.7548335123523091,0.5587173413866127,True,19,2,True,False
MNQ,rest_of_rth,globex_compression__inside_trapped,new_session_high_or_low_after_10_30_rate,lower,19,753,inside_trapped,156,0.8472775564409031,0.7756410256410257,0.7894736842105263,0.05780387223037675,-0.013832658569500667,False,19,2,True,False
MNQ,rest_of_rth,globex_expansion__inside_broken,median_rest_rth_range_div_first_hour_range,higher,162,753,globex_expansion,222,1.3421052631578947,1.3016744945885235,1.2745444302398647,-0.06756083291802994,-0.027130064348658722,False,162,3,False,False
MNQ,rest_of_rth,globex_expansion__inside_broken,new_session_high_or_low_after_10_30_rate,higher,162,753,inside_broken,597,0.8472775564409031,0.8659966499162479,0.8148148148148148,-0.03246274162608831,-0.05118183510143315,False,162,3,False,False
MNQ,lunch,morning_exhaustion__inside_trapped,median_lunch_range_div_morning_range,lower,15,753,morning_exhaustion,134,0.7,0.521671874779521,0.6819713563605728,0.018028643639427133,-0.16029948158105178,False,15,2,True,False
MNQ,lunch,morning_exhaustion__inside_trapped,lunch_range_contraction_rate,higher,15,753,morning_exhaustion,134,0.2098273572377158,0.43283582089552236,0.3333333333333333,0.1235059760956175,-0.09950248756218905,False,15,2,True,False
MNQ,lunch,morning_exhaustion__inside_broken,median_lunch_range_div_morning_range,lower,119,753,morning_exhaustion,134,0.7,0.521671874779521,0.5213726670680313,0.17862733293196864,0.000299207711489724,False,119,3,False,False
MNQ,lunch,morning_exhaustion__inside_broken,lunch_range_contraction_rate,higher,119,753,morning_exhaustion,134,0.2098273572377158,0.43283582089552236,0.44537815126050423,0.23555079402278842,0.012542330364981868,False,119,3,False,False
MNQ,lunch,globex_compression__morning_exhaustion,median_lunch_range_div_morning_range,lower,12,753,morning_exhaustion,134,0.7,0.521671874779521,0.39400874721167223,0.30599125278832773,0.1276631275678488,True,12,1,True,False
MNQ,lunch,globex_compression__morning_exhaustion,lunch_range_contraction_rate,higher,12,753,morning_exhaustion,134,0.2098273572377158,0.43283582089552236,0.5833333333333334,0.37350597609561753,0.150497512437811,True,12,1,True,False
