window,root,target_window,combined_state,metric,direction,combined_days,unconditional_days,best_individual_label,best_individual_days,unconditional_value,best_individual_value,combined_value,lift_vs_unconditional,lift_vs_best_individual,materially_improves_best_individual,concentration_days,years_with_min_rows,sparse,concentrated
local_ninja_under_sampled_sanity_only,MNQ,rest_of_rth,globex_compression__inside_trapped,median_rest_rth_range_div_first_hour_range,higher,3,27,inside_trapped,16,1.8558951965065502,2.2851067948369455,2.0637450199203187,0.20784982341376845,-0.22136177491662679,False,3,0,True,True
local_ninja_under_sampled_sanity_only,MNQ,rest_of_rth,globex_compression__inside_trapped,new_session_high_or_low_after_10_30_rate,lower,3,27,globex_compression,4,0.6296296296296297,0.25,0.3333333333333333,0.29629629629629634,-0.08333333333333331,False,3,0,True,True
local_ninja_under_sampled_sanity_only,MNQ,rest_of_rth,globex_expansion__inside_broken,median_rest_rth_range_div_first_hour_range,higher,3,27,globex_expansion,8,1.8558951965065502,2.2770855292877576,1.185142857142857,-0.6707523393636932,-1.0919426721449006,False,3,0,True,True
local_ninja_under_sampled_sanity_only,MNQ,rest_of_rth,globex_expansion__inside_broken,new_session_high_or_low_after_10_30_rate,higher,3,27,inside_broken,11,0.6296296296296297,0.6363636363636364,0.6666666666666666,0.03703703703703698,0.030303030303030276,True,3,0,True,True
local_ninja_under_sampled_sanity_only,MNQ,lunch,morning_exhaustion__inside_trapped,median_lunch_range_div_morning_range,lower,7,27,morning_exhaustion,16,0.8842592592592593,0.734474472544462,0.7542087542087542,0.13005050505050508,-0.019734281664292253,False,7,1,True,True
local_ninja_under_sampled_sanity_only,MNQ,lunch,morning_exhaustion__inside_trapped,lunch_range_contraction_rate,higher,7,27,morning_exhaustion,16,0.1111111111111111,0.1875,0.0,-0.1111111111111111,-0.1875,False,7,1,True,True
local_ninja_under_sampled_sanity_only,MNQ,lunch,morning_exhaustion__inside_broken,median_lunch_range_div_morning_range,lower,9,27,morning_exhaustion,16,0.8842592592592593,0.734474472544462,0.684964200477327,0.19929505878193232,0.049510272067134986,True,9,1,True,True
local_ninja_under_sampled_sanity_only,MNQ,lunch,morning_exhaustion__inside_broken,lunch_range_contraction_rate,higher,9,27,inside_broken,11,0.1111111111111111,0.2727272727272727,0.3333333333333333,0.2222222222222222,0.06060606060606061,True,9,1,True,True
local_ninja_under_sampled_sanity_only,MNQ,lunch,globex_compression__morning_exhaustion,median_lunch_range_div_morning_range,lower,1,27,morning_exhaustion,16,0.8842592592592593,0.734474472544462,0.5723684210526315,0.3118908382066278,0.16210605149183044,True,1,0,True,True
local_ninja_under_sampled_sanity_only,MNQ,lunch,globex_compression__morning_exhaustion,lunch_range_contraction_rate,higher,1,27,morning_exhaustion,16,0.1111111111111111,0.1875,0.0,-0.1111111111111111,-0.1875,False,1,0,True,True
