window,root,target_window,combined_state,metric,direction,combined_days,unconditional_days,best_individual_label,best_individual_days,unconditional_value,best_individual_value,combined_value,lift_vs_unconditional,lift_vs_best_individual,materially_improves_best_individual,concentration_days,years_with_min_rows,sparse,concentrated
supplemental_2026_q1,MNQ,rest_of_rth,globex_compression__inside_trapped,median_rest_rth_range_div_first_hour_range,higher,1,43,inside_trapped,7,1.2318244170096022,1.4912621359223301,1.1746835443037975,-0.0571408727058047,-0.31657859161853263,False,1,0,True,True
supplemental_2026_q1,MNQ,rest_of_rth,globex_compression__inside_trapped,new_session_high_or_low_after_10_30_rate,lower,1,43,inside_trapped,7,0.8372093023255814,0.8571428571428571,1.0,-0.16279069767441856,-0.1428571428571429,False,1,0,True,True
supplemental_2026_q1,MNQ,rest_of_rth,globex_expansion__inside_broken,median_rest_rth_range_div_first_hour_range,higher,12,43,globex_expansion,15,1.2318244170096022,1.4162257495590829,1.3196440735172286,0.08781965650762635,-0.0965816760418543,False,12,1,True,True
supplemental_2026_q1,MNQ,rest_of_rth,globex_expansion__inside_broken,new_session_high_or_low_after_10_30_rate,higher,12,43,globex_expansion,15,0.8372093023255814,0.8666666666666667,0.9166666666666666,0.07945736434108519,0.04999999999999993,True,12,1,True,True
supplemental_2026_q1,MNQ,lunch,morning_exhaustion__inside_trapped,median_lunch_range_div_morning_range,lower,0,43,morning_exhaustion,6,0.6156521739130435,0.41789808548925683,,,,False,0,0,True,False
supplemental_2026_q1,MNQ,lunch,morning_exhaustion__inside_trapped,lunch_range_contraction_rate,higher,0,43,morning_exhaustion,6,0.3023255813953488,0.5,,,,False,0,0,True,False
supplemental_2026_q1,MNQ,lunch,morning_exhaustion__inside_broken,median_lunch_range_div_morning_range,lower,6,43,morning_exhaustion,6,0.6156521739130435,0.41789808548925683,0.41789808548925683,0.19775408842378667,0.0,False,6,1,True,True
supplemental_2026_q1,MNQ,lunch,morning_exhaustion__inside_broken,lunch_range_contraction_rate,higher,6,43,morning_exhaustion,6,0.3023255813953488,0.5,0.5,0.19767441860465118,0.0,False,6,1,True,True
supplemental_2026_q1,MNQ,lunch,globex_compression__morning_exhaustion,median_lunch_range_div_morning_range,lower,0,43,morning_exhaustion,6,0.6156521739130435,0.41789808548925683,,,,False,0,0,True,False
supplemental_2026_q1,MNQ,lunch,globex_compression__morning_exhaustion,lunch_range_contraction_rate,higher,0,43,morning_exhaustion,6,0.3023255813953488,0.5,,,,False,0,0,True,False
supplemental_2026_q1,MNQ,lunch,globex_expansion__morning_exhaustion,median_lunch_range_div_morning_range,lower,3,43,morning_exhaustion,6,0.6156521739130435,0.41789808548925683,0.3030913978494624,0.3125607760635811,0.11480668763979446,True,3,0,True,True
supplemental_2026_q1,MNQ,lunch,globex_expansion__morning_exhaustion,lunch_range_contraction_rate,higher,3,43,morning_exhaustion,6,0.3023255813953488,0.5,0.6666666666666666,0.3643410852713178,0.16666666666666663,True,3,0,True,True
supplemental_2026_q1,NQ,rest_of_rth,globex_compression__inside_trapped,median_rest_rth_range_div_first_hour_range,higher,1,43,inside_trapped,7,1.2261580381471389,1.4916911045943304,1.1738035264483626,-0.05235451169877625,-0.3178875781459678,False,1,0,True,True
supplemental_2026_q1,NQ,rest_of_rth,globex_compression__inside_trapped,new_session_high_or_low_after_10_30_rate,lower,1,43,inside_trapped,7,0.8372093023255814,0.8571428571428571,1.0,-0.16279069767441856,-0.1428571428571429,False,1,0,True,True
supplemental_2026_q1,NQ,rest_of_rth,globex_expansion__inside_broken,median_rest_rth_range_div_first_hour_range,higher,12,43,globex_expansion,15,1.2261580381471389,1.4201235657546336,1.3295011556904819,0.10334311754334302,-0.09062241006415173,False,12,1,True,True
supplemental_2026_q1,NQ,rest_of_rth,globex_expansion__inside_broken,new_session_high_or_low_after_10_30_rate,higher,12,43,globex_expansion,15,0.8372093023255814,0.8666666666666667,0.9166666666666666,0.07945736434108519,0.04999999999999993,True,12,1,True,True
