root,year,combined_state,days,median_rest_rth_range_div_first_hour_range,new_session_high_or_low_after_10_30_rate,median_lunch_range_div_morning_range,lunch_range_contraction_rate,mean_chop_index,mean_first_hour_vwap_cross_count,vwap_cross_rate
MNQ,2023,unconditional_eligible,237,1.3627450980392155,0.869198312236287,0.717201166180758,0.18143459915611815,0.5145716599688634,14.227848101265822,0.5822784810126582
MNQ,2023,globex_compression__inside_trapped,8,1.6130626891905084,0.625,0.7681028551771586,0.0,0.5013624917077044,13.25,0.875
MNQ,2023,globex_expansion__inside_broken,49,1.2708933717579252,0.7959183673469388,0.6951612903225807,0.16326530612244897,0.5154457226222996,16.79591836734694,0.6326530612244898
MNQ,2023,morning_exhaustion__inside_trapped,5,1.0264227642276422,0.8,0.7076612903225806,0.4,0.5157410077254052,10.0,0.4
MNQ,2023,morning_exhaustion__inside_broken,31,1.09024612579763,0.967741935483871,0.5402298850574713,0.45161290322580644,0.5180105816332222,6.290322580645161,0.3870967741935484
MNQ,2023,globex_compression__morning_exhaustion,5,1.1788617886178865,1.0,0.541095890410959,0.2,0.5212860273122046,0.6,0.6
MNQ,2023,globex_expansion__morning_exhaustion,18,0.9874764831084302,0.8888888888888888,0.5875461364448149,0.3888888888888889,0.5188394817471317,8.833333333333334,0.3888888888888889
MNQ,2024,unconditional_eligible,259,1.3561904761904762,0.8416988416988417,0.6996197718631179,0.20077220077220076,0.5039738487494975,15.447876447876448,0.6061776061776062
MNQ,2024,globex_compression__inside_trapped,4,2.801657916551534,1.0,0.8665877752623997,0.0,0.5053485162180814,10.25,0.75
MNQ,2024,globex_expansion__inside_broken,55,1.3225404732254047,0.8363636363636363,0.673216885007278,0.23636363636363636,0.5047815086091104,12.345454545454546,0.4909090909090909
MNQ,2024,morning_exhaustion__inside_trapped,6,1.4235558461795315,0.8333333333333334,0.6302649008751793,0.3333333333333333,0.5091949477704524,0.6666666666666666,0.0
MNQ,2024,morning_exhaustion__inside_broken,44,1.2233704063636037,0.9090909090909091,0.501515197367697,0.4772727272727273,0.5011246905926171,9.068181818181818,0.4318181818181818
MNQ,2024,globex_compression__morning_exhaustion,4,0.806227452069183,0.75,0.34004476207358214,0.75,0.4889059535322459,18.0,0.75
MNQ,2024,globex_expansion__morning_exhaustion,29,1.1924198250728864,0.9310344827586207,0.5291777188328912,0.41379310344827586,0.5044642288654104,6.482758620689655,0.2413793103448276
MNQ,2025,unconditional_eligible,257,1.2849604221635884,0.8326848249027238,0.681438127090301,0.245136186770428,0.5086902195133486,12.536964980544747,0.6070038910505836
MNQ,2025,globex_compression__inside_trapped,7,1.8251273344651957,0.8571428571428571,0.6529466791393826,0.0,0.4918253569811207,12.428571428571429,0.7142857142857143
MNQ,2025,globex_expansion__inside_broken,58,1.175387208201014,0.8103448275862069,0.7355957430357656,0.2413793103448276,0.5097417792432263,12.741379310344827,0.6379310344827587
MNQ,2025,morning_exhaustion__inside_trapped,4,1.594182351994852,0.75,0.5930517938827657,0.25,0.5092429208593389,12.25,0.5
MNQ,2025,morning_exhaustion__inside_broken,44,0.9511946213083797,0.7727272727272727,0.5214723224276508,0.4090909090909091,0.5080839333200405,10.772727272727273,0.5454545454545454
MNQ,2025,globex_compression__morning_exhaustion,3,0.6235294117647059,0.3333333333333333,0.372829417773238,1.0,0.5203924114366321,22.666666666666668,0.6666666666666666
MNQ,2025,globex_expansion__morning_exhaustion,31,1.070273631840796,0.7741935483870968,0.6924778761061947,0.3548387096774194,0.5068296469163817,11.290322580645162,0.6129032258064516
NQ,2023,unconditional_eligible,237,1.3591331269349844,0.869198312236287,0.7105263157894737,0.17721518987341772,0.5141036025866892,14.012658227848101,0.5864978902953587
NQ,2023,globex_compression__inside_trapped,8,1.9446428571428571,0.75,0.7293101289595594,0.125,0.4927692418633693,15.25,0.75
NQ,2023,globex_expansion__inside_broken,47,1.2932628797886394,0.8297872340425532,0.6959134615384616,0.1702127659574468,0.5130852527735277,17.425531914893618,0.6595744680851063
NQ,2023,morning_exhaustion__inside_trapped,5,1.0132248219735505,0.8,0.7089627391742196,0.4,0.5235046415958948,9.2,0.4
NQ,2023,morning_exhaustion__inside_broken,31,1.087114337568058,0.967741935483871,0.5360824742268041,0.45161290322580644,0.5171456688045603,5.67741935483871,0.3870967741935484
NQ,2023,globex_compression__morning_exhaustion,5,1.1788617886178865,1.0,0.5360824742268041,0.2,0.5141360101314205,0.6,0.6
NQ,2023,globex_expansion__morning_exhaustion,18,0.9827935222672064,0.8888888888888888,0.5859758077852627,0.3888888888888889,0.5218498452147367,8.222222222222221,0.3888888888888889
NQ,2024,unconditional_eligible,259,1.3569739952718676,0.8416988416988417,0.7015706806282722,0.20077220077220076,0.5034997981729264,15.034749034749035,0.5984555984555985
