monitor_id,scope,scope_value,root,timeframe,variant,filter,slippage_ticks_per_side,slippage_cost_dollars_per_trade,trades,days,weeks,net_dollars,profit_factor,max_drawdown_dollars,win_rate,largest_winner,largest_winner_share,net_without_largest,status,status_reasons
local_raw_60m_ema_pullback,full,all,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,66,37,9,2478.481428571427,1.311161675972263,1015.3842857142827,40.909090909090914,903.1171428571448,0.3643832600261576,1575.3642857142822,pass,
local_raw_60m_ema_pullback,week,2026-04-06/2026-04-12,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,12,5,1,-528.0585714285726,0.6628246070600112,781.2457142857102,25.0,564.9742857142826,,-1093.0328571428552,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-04-13/2026-04-19,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,4,3,1,531.29,4.495558918349891,0.0,75.0,234.5457142857174,0.4414645754403761,296.74428571428257,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-04-20/2026-04-26,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,7,5,1,972.3557142857173,3.104477335056546,155.74,57.14285714285714,425.1171428571449,0.4372033162467006,547.2385714285724,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-04-27/2026-05-03,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,11,4,1,-428.5685714285653,0.6846090282318902,1009.95,27.27272727272727,524.6171428571449,,-953.1857142857102,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-05-04/2026-05-10,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,4,4,1,987.2899999999927,7.911513805966264,0.0,75.0,435.4742857142826,0.44108041782483953,551.8157142857101,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-05-11/2026-05-17,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,7,4,1,-247.18,0.7507691864484901,476.33714285714495,28.57142857142857,379.68857142857246,,-626.8685714285725,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-05-18/2026-05-24,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,5,4,1,415.87142857142743,1.486721372871604,588.837142857145,40.0,666.26,1.6020816873346888,-250.38857142857256,fail,"sample_size,calendar_coverage,largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-05-25/2026-05-31,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,5,3,1,499.9785714285724,1.8752666551626707,437.09714285714495,60.0,479.8314285714275,0.959703987313738,20.1471428571449,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-06-01/2026-06-07,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,11,5,1,275.50285714285485,1.1476462590033794,907.8685714285798,36.36363636363637,903.1171428571448,3.278068155891599,-627.61428571429,fail,"sample_size,calendar_coverage,largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,month,2026-04,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,32,16,4,484.820000000007,1.1420028369269164,1015.3842857142827,37.5,564.9742857142826,1.16532792730142,-80.1542857142756,fail,"largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,month,2026-05,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,23,16,5,1718.158571428565,1.639879101357685,630.1842857142899,47.82608695652174,666.26,0.3877756169187791,1051.898571428565,fail,sample_size
local_raw_60m_ema_pullback,month,2026-06,MNQ,60,ema_pullback_trend,No context filter.,0.0,0.0,11,5,1,275.50285714285485,1.1476462590033794,907.8685714285798,36.36363636363637,903.1171428571448,3.278068155891599,-627.61428571429,fail,"sample_size,calendar_coverage,largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,full,all,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,66,37,9,2412.481428571427,1.30139995220398,1023.3842857142827,40.909090909090914,902.1171428571448,0.3739374455584273,1510.3642857142822,pass,
local_raw_60m_ema_pullback,week,2026-04-06/2026-04-12,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,12,5,1,-540.0585714285726,0.6571327251273582,785.2457142857102,25.0,563.9742857142826,,-1104.0328571428552,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-04-13/2026-04-19,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,4,3,1,527.29,4.446565134976142,0.0,75.0,233.5457142857174,0.4429170177430207,293.74428571428257,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-04-20/2026-04-26,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,7,5,1,965.3557142857173,3.075848849104085,156.74,57.14285714285714,424.1171428571449,0.4393376830746335,541.2385714285724,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-04-27/2026-05-03,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,11,4,1,-439.5685714285653,0.6784072642596051,1014.95,27.27272727272727,523.6171428571449,,-963.1857142857102,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-05-04/2026-05-10,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,4,4,1,983.2899999999927,7.835658883934183,0.0,75.0,434.4742857142826,0.4418577283550995,548.8157142857101,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-05-11/2026-05-17,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,7,4,1,-254.18,0.7449967036431906,478.33714285714495,28.57142857142857,378.68857142857246,,-632.8685714285725,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-05-18/2026-05-24,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,5,4,1,410.87142857142743,1.4791870763940225,590.837142857145,40.0,665.26,1.61914397969473,-254.38857142857256,fail,"sample_size,calendar_coverage,largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-05-25/2026-05-31,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,5,3,1,494.9785714285724,1.8634903466820865,438.09714285714495,60.0,478.8314285714275,0.9673780971759198,16.1471428571449,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-06-01/2026-06-07,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,11,5,1,264.50285714285485,1.1412214089801034,913.8685714285798,36.36363636363637,902.1171428571448,3.410613982025616,-637.61428571429,fail,"sample_size,calendar_coverage,largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,month,2026-04,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,32,16,4,452.820000000007,1.1318576818599726,1023.3842857142827,37.5,563.9742857142826,1.2454712373885295,-111.1542857142756,fail,"largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,month,2026-05,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,23,16,5,1695.158571428565,1.628504585032446,633.1842857142899,47.82608695652174,665.26,0.39244706142114116,1029.898571428565,fail,sample_size
local_raw_60m_ema_pullback,month,2026-06,MNQ,60,ema_pullback_trend,No context filter.,1.0,1.0,11,5,1,264.50285714285485,1.1412214089801034,913.8685714285798,36.36363636363637,902.1171428571448,3.410613982025616,-637.61428571429,fail,"sample_size,calendar_coverage,largest_winner_dependency,largest_winner_share"
local_raw_60m_ema_pullback,full,all,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,66,37,9,2346.481428571427,1.291732893426025,1031.3842857142827,40.909090909090914,901.1171428571448,0.38402909645262284,1445.3642857142822,pass,
local_raw_60m_ema_pullback,week,2026-04-06/2026-04-12,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,12,5,1,-552.0585714285726,0.6515055185965734,789.2457142857102,25.0,562.9742857142826,,-1115.0328571428552,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-04-13/2026-04-19,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,4,3,1,523.29,4.398207675823105,0.0,75.0,232.5457142857174,0.4443916648239359,290.74428571428257,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-04-20/2026-04-26,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,7,5,1,958.3557142857173,3.0475873625350736,157.74,57.14285714285714,423.1171428571449,0.44150322948979653,535.2385714285724,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-04-27/2026-05-03,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,11,4,1,-450.5685714285653,0.6722776742165938,1019.95,27.27272727272727,522.6171428571449,,-973.1857142857102,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
local_raw_60m_ema_pullback,week,2026-05-04/2026-05-10,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,4,4,1,979.2899999999927,7.760851340822195,0.0,75.0,433.4742857142826,0.4426413888779481,545.8157142857101,fail,"sample_size,calendar_coverage,largest_winner_share"
local_raw_60m_ema_pullback,week,2026-05-11/2026-05-17,MNQ,60,ema_pullback_trend,No context filter.,2.0,2.0,7,4,1,-261.18,0.7392818435913522,480.33714285714495,28.57142857142857,377.68857142857246,,-638.8685714285725,fail,"sample_size,calendar_coverage,net_not_positive,largest_winner_dependency,profit_factor"
