root,morning_range_ratio_bin,state,days,mean_lunch_range,median_lunch_range,mean_lunch_range_div_morning_range,median_lunch_range_div_morning_range,lunch_range_contraction_rate,mean_lunch_trendiness,median_lunch_trendiness,mean_lunch_signed_trendiness,median_lunch_signed_trendiness,vwap_cross_rate,vwap_touch_after_morning_extension_rate,trend_continuation_failure_rate,new_high_or_low_during_lunch_rate,mean_close_location_within_lunch_range,median_close_location_within_lunch_range
MNQ,le_0_7,le_0_7,162,92.47993827160494,77.875,0.9527492048051558,0.8158829628274327,0.09259259259259259,0.4134234523629261,0.4151785714285714,0.06606967883360533,0.060578012998768624,0.7839506172839507,0.7839506172839507,0.5370370370370371,0.8209876543209876,0.567329653392668,0.5923295454545454
MNQ,0_7_to_1_0,0_7_to_1_0,225,117.82111111111111,106.75,0.8431490181524233,0.7740667976424361,0.1288888888888889,0.4734869666774436,0.48088531187122735,0.11217305155362539,0.24342105263157895,0.6266666666666667,0.6266666666666667,0.48,0.7955555555555556,0.5903722169887691,0.6413043478260869
MNQ,1_0_to_1_3,1_0_to_1_3,152,125.69572368421052,105.625,0.7070174900516364,0.6397372082681853,0.21052631578947367,0.44270350092363636,0.4630517787297448,0.16906226645611774,0.2284188034188034,0.5526315789473685,0.5526315789473685,0.40131578947368424,0.7105263157894737,0.6249608198334907,0.7081140350877193
MNQ,1_3_to_1_5,1_3_to_1_5,80,174.896875,127.75,0.7162280149349345,0.5925049896751595,0.3,0.4807763643851942,0.4786620318828908,0.05814631052610993,0.06077480959234165,0.5,0.5,0.4875,0.725,0.5714841017568698,0.6475547730829421
MNQ,1_5_to_2_0,1_5_to_2_0,103,165.85679611650485,135.25,0.6249399624905718,0.5656050955414013,0.36893203883495146,0.47097145333214446,0.46311475409836067,-0.03382313754062918,-0.023989898989898988,0.49514563106796117,0.49514563106796117,0.5048543689320388,0.6796116504854369,0.5023056078118139,0.5114678899082569
MNQ,gt_2_0,gt_2_0,31,199.0483870967742,168.5,0.46459403950156614,0.4250614250614251,0.6451612903225806,0.40076073040958027,0.3333333333333333,0.010763587769778173,-0.08796296296296297,0.25806451612903225,0.25806451612903225,0.45161290322580644,0.7096774193548387,0.5471672543125636,0.5906976744186047
NQ,le_0_7,le_0_7,163,92.09815950920246,77.75,0.9514039895166729,0.8190327613104524,0.08588957055214724,0.41696107097902574,0.41025641025641024,0.07616616748116675,0.06375838926174497,0.754601226993865,0.754601226993865,0.5276073619631901,0.8282208588957055,0.5787615341955973,0.6045454545454545
NQ,0_7_to_1_0,0_7_to_1_0,223,117.82847533632287,106.25,0.8467682544674419,0.7731755424063116,0.13004484304932734,0.4718557803652346,0.4647887323943662,0.10399401682425723,0.21428571428571427,0.6457399103139013,0.6457399103139013,0.49327354260089684,0.7937219730941704,0.5831935957131711,0.6211764705882353
NQ,1_0_to_1_3,1_0_to_1_3,154,125.75162337662337,107.125,0.7066220475350291,0.6397126592572513,0.22077922077922077,0.4480271551770599,0.4648967551622419,0.16840311641378958,0.23350745703686882,0.551948051948052,0.551948051948052,0.38961038961038963,0.7142857142857143,0.6237721100717197,0.7067325143096468
NQ,1_3_to_1_5,1_3_to_1_5,78,175.50641025641025,126.375,0.7166994530030504,0.5916959896765268,0.3076923076923077,0.47845176684520435,0.4713414525099701,0.06233130177096971,0.05774449431165849,0.47435897435897434,0.47435897435897434,0.48717948717948717,0.7051282051282052,0.5712134114532953,0.6532171532171531
NQ,1_5_to_2_0,1_5_to_2_0,103,165.76941747572815,138.5,0.626410837080541,0.5661577608142494,0.3592233009708738,0.47245003178239564,0.46215139442231074,-0.033842169471411894,-0.017834394904458598,0.49514563106796117,0.49514563106796117,0.5145631067961165,0.6796116504854369,0.5017729138094611,0.5174825174825175
NQ,gt_2_0,gt_2_0,32,196.609375,165.75,0.4610242482113486,0.4232549529489589,0.65625,0.4024206650484786,0.342476396538159,0.024057413917225465,-0.08901152185457989,0.28125,0.28125,0.4375,0.6875,0.5588006663482444,0.5937312161891405
