root,session_date,morning_first_timestamp,morning_last_timestamp,morning_open,morning_high,morning_low,morning_close,morning_volume,morning_pv,morning_bar_count,morning_vwap,lunch_first_timestamp,lunch_last_timestamp,lunch_open,lunch_high,lunch_low,lunch_close,lunch_volume,lunch_pv,lunch_bar_count,lunch_vwap,cohort,morning_range,morning_reference_median_20,morning_range_ratio,morning_state,morning_range_ratio_bin,lunch_range,lunch_range_div_morning_range,lunch_range_contraction,lunch_trendiness,lunch_signed_trendiness,morning_signed_direction,lunch_signed_direction,trend_continuation_failure,new_high_or_low_during_lunch,close_location_within_lunch_range,vwap_cross,vwap_touch_after_morning_extension,year,month,week
MNQ,2023-01-03,2023-01-03 14:30:00+00:00,2023-01-03 16:29:00+00:00,11119.5,11181.75,10891.0,10914.5,374931,4128302197.75,120,11010.831853727752,2023-01-03 16:30:00+00:00,2023-01-03 18:59:00+00:00,10914.5,10920.0,10844.25,10914.75,166951,1816622991.6666667,150,10881.174666019771,primary_2023_2025,290.75,,,unclassified,,75.75,0.26053310404127256,True,0.0033003300330033004,0.0033003300330033004,-1,1,True,True,0.9306930693069307,False,False,2023,2023-01,2023-W01
MNQ,2023-01-04,2023-01-04 14:30:00+00:00,2023-01-04 16:29:00+00:00,11033.75,11046.75,10863.25,10992.5,443889,4863505354.833333,120,10956.580034272833,2023-01-04 16:30:00+00:00,2023-01-04 18:59:00+00:00,10992.5,11068.0,10976.25,11001.25,191628,2114472041.75,150,11034.254084737095,primary_2023_2025,183.5,,,unclassified,,91.75,0.5,False,0.09536784741144415,0.09536784741144415,-1,1,True,True,0.2724795640326976,False,False,2023,2023-01,2023-W01
MNQ,2023-01-05,2023-01-05 14:30:00+00:00,2023-01-05 16:29:00+00:00,10922.25,10927.25,10814.75,10848.25,382020,4149885576.3333335,120,10863.00606338237,2023-01-05 16:30:00+00:00,2023-01-05 18:59:00+00:00,10848.0,10913.75,10820.5,10872.5,218909,2378596108.3333335,150,10865.684409198953,primary_2023_2025,112.5,,,unclassified,,93.25,0.8288888888888889,False,0.26273458445040215,0.26273458445040215,-1,1,True,False,0.5576407506702413,True,True,2023,2023-01,2023-W01
MNQ,2023-01-06,2023-01-06 14:30:00+00:00,2023-01-06 16:29:00+00:00,10890.5,11022.25,10766.5,10986.5,513370,5597155410.666667,120,10902.770731960705,2023-01-06 16:30:00+00:00,2023-01-06 18:59:00+00:00,10986.5,11075.5,10970.5,11072.0,182402,2011285827.3333333,150,11026.665427645165,primary_2023_2025,255.75,,,unclassified,,105.0,0.41055718475073316,True,0.8142857142857143,0.8142857142857143,1,1,False,True,0.9666666666666667,False,False,2023,2023-01,2023-W01
MNQ,2023-01-09,2023-01-09 14:30:00+00:00,2023-01-09 16:29:00+00:00,11199.5,11385.5,11194.5,11373.5,361620,4084461137.9166665,120,11294.898340569289,2023-01-09 16:30:00+00:00,2023-01-09 18:59:00+00:00,11374.0,11381.25,11260.5,11282.5,221413,2510396564.5833335,150,11338.072130287443,primary_2023_2025,191.0,,,unclassified,,120.75,0.6321989528795812,False,0.7577639751552795,-0.7577639751552795,1,-1,True,False,0.18219461697722567,True,True,2023,2023-01,2023-W02
MNQ,2023-01-10,2023-01-10 14:30:00+00:00,2023-01-10 16:29:00+00:00,11143.0,11283.25,11120.75,11194.75,502529,5628118978.25,120,11199.590428114596,2023-01-10 16:30:00+00:00,2023-01-10 18:59:00+00:00,11194.5,11248.75,11156.75,11244.75,213287,2390069114.0,150,11205.882749534665,primary_2023_2025,162.5,,,unclassified,,92.0,0.5661538461538461,False,0.5461956521739131,0.5461956521739131,1,1,False,False,0.9565217391304348,True,True,2023,2023-01,2023-W02
MNQ,2023-01-11,2023-01-11 14:30:00+00:00,2023-01-11 16:29:00+00:00,11323.75,11388.75,11290.75,11369.25,369818,4195542823.1666665,120,11344.885384612611,2023-01-11 16:30:00+00:00,2023-01-11 18:59:00+00:00,11369.25,11442.5,11357.5,11409.25,216744,2470860546.1666665,150,11399.902863131927,primary_2023_2025,98.0,,,unclassified,,85.0,0.8673469387755102,False,0.47058823529411764,0.47058823529411764,1,1,False,True,0.6088235294117647,False,False,2023,2023-01,2023-W02
MNQ,2023-01-12,2023-01-12 14:30:00+00:00,2023-01-12 16:29:00+00:00,11490.25,11518.5,11311.0,11450.75,585652,6695639197.083333,120,11432.794897111822,2023-01-12 16:30:00+00:00,2023-01-12 18:59:00+00:00,11451.0,11571.75,11416.75,11565.25,291338,3353486957.5,150,11510.640415942995,primary_2023_2025,207.5,,,unclassified,,155.0,0.7469879518072289,False,0.7370967741935484,0.7370967741935484,-1,1,True,True,0.9580645161290322,True,True,2023,2023-01,2023-W02
MNQ,2023-01-13,2023-01-13 14:30:00+00:00,2023-01-13 16:29:00+00:00,11424.5,11538.5,11408.5,11485.25,374480,4299067145.0,120,11480.098122730185,2023-01-13 16:30:00+00:00,2023-01-13 18:59:00+00:00,11485.75,11568.5,11453.75,11560.75,212231,2442515903.3333335,150,11508.761224012202,primary_2023_2025,130.0,,,unclassified,,114.75,0.8826923076923077,False,0.6535947712418301,0.6535947712418301,1,1,False,True,0.9324618736383442,True,True,2023,2023-01,2023-W02
MNQ,2023-01-16,2023-01-16 14:30:00+00:00,2023-01-16 16:29:00+00:00,11590.5,11611.0,11581.5,11586.75,41594,482327664.0,120,11596.087512622013,2023-01-16 16:30:00+00:00,2023-01-16 17:59:00+00:00,11587.0,11587.0,11560.5,11564.25,19864,229887305.16666666,90,11573.0620804806,primary_2023_2025,29.5,,,unclassified,,26.5,0.8983050847457628,False,0.8584905660377359,-0.8584905660377359,-1,-1,False,True,0.14150943396226415,False,False,2023,2023-01,2023-W03
