root,year,state,days,mean_lunch_range,median_lunch_range,mean_lunch_range_div_morning_range,median_lunch_range_div_morning_range,lunch_range_contraction_rate,mean_lunch_trendiness,median_lunch_trendiness,mean_lunch_signed_trendiness,median_lunch_signed_trendiness,vwap_cross_rate,vwap_touch_after_morning_extension_rate,trend_continuation_failure_rate,new_high_or_low_during_lunch_rate,mean_close_location_within_lunch_range,median_close_location_within_lunch_range
MNQ,2023,unconditional,237,98.50527426160338,92.5,0.789616481658248,0.717201166180758,0.18143459915611815,0.46575050535335644,0.4522058823529412,0.10511513675932573,0.1645021645021645,0.5822784810126582,0.5822784810126582,0.48945147679324896,0.7848101265822784,0.5698271157668007,0.5984095427435387
MNQ,2023,standard,201,95.16542288557214,88.5,0.8348016702756946,0.7535101404056163,0.13432835820895522,0.46619893422986014,0.4574780058651026,0.11504239817736459,0.18055555555555555,0.6169154228855721,0.6169154228855721,0.47761194029850745,0.7910447761194029,0.5807480439433885,0.6219512195121951
MNQ,2023,exhaustion,36,117.15277777777777,106.75,0.5373325118775043,0.5406628877342151,0.4444444444444444,0.46324677745954407,0.4510538252629146,0.049687927175275516,-0.017653851600884597,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.75,0.5088519334475178,0.5133352963054798
MNQ,2024,unconditional,259,121.42567567567568,108.25,0.7747377493450815,0.6996197718631179,0.20077220077220076,0.43680280802221805,0.42696629213483145,0.06825471995744822,0.060753341433778855,0.6061776061776062,0.6061776061776062,0.47876447876447875,0.7413127413127413,0.5823926675375452,0.6083743842364532
MNQ,2024,standard,209,112.00837320574162,102.75,0.8205109253291623,0.7433234421364985,0.13875598086124402,0.4336673953573247,0.4294117647058823,0.1075004453204,0.09328358208955224,0.6602870813397129,0.6602870813397129,0.4784688995215311,0.7559808612440191,0.6057554273520007,0.6413043478260869
MNQ,2024,exhaustion,50,160.79,157.125,0.5834058737316239,0.5020461544755968,0.46,0.44990883296147177,0.3859538784067086,-0.09579241205969029,-0.05597643097643098,0.38,0.38,0.48,0.68,0.484736331513121,0.5742696087032813
MNQ,2025,unconditional,257,167.50097276264592,131.25,0.7774079691559165,0.681438127090301,0.245136186770428,0.4540118808009145,0.4573170731707317,0.07996506648742219,0.1412037037037037,0.6070038910505836,0.6070038910505836,0.4708171206225681,0.7470817120622568,0.5769060723216957,0.6475095785440613
MNQ,2025,standard,209,153.35406698564594,119.25,0.8111812479720787,0.703921568627451,0.21052631578947367,0.45416141945714994,0.4573170731707317,0.09904439621250997,0.1965065502183406,0.6220095693779905,0.6220095693779905,0.47368421052631576,0.7703349282296651,0.5843094941537617,0.6626262626262627
MNQ,2025,exhaustion,48,229.09895833333334,199.75,0.6303534843105437,0.5214723224276508,0.3958333333333333,0.45336076456855606,0.45515737704918036,-0.003109515023897662,-0.08382655710116906,0.5416666666666666,0.5416666666666666,0.4583333333333333,0.6458333333333334,0.5446703397612417,0.6054167803841015
NQ,2023,unconditional,237,98.33016877637131,92.0,0.7895638803649794,0.7105263157894737,0.17721518987341772,0.46844573119554844,0.46153846153846156,0.10648411083520838,0.16463414634146342,0.5864978902953587,0.5864978902953587,0.48523206751054854,0.7848101265822784,0.5708026751857654,0.6023856858846919
NQ,2023,standard,201,94.97636815920399,87.75,0.8346922103046552,0.7469244288224957,0.12935323383084577,0.46930665958492446,0.4628099173553719,0.11662077369719072,0.19387755102040816,0.6218905472636815,0.6218905472636815,0.472636815920398,0.7910447761194029,0.5817879444805613,0.6219512195121951
NQ,2023,exhaustion,36,117.05555555555556,107.0,0.5375973715351229,0.538009288231613,0.4444444444444444,0.4636388810215325,0.44849451429980275,0.049887743189140216,-0.0174758127778262,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.75,0.5094682549564887,0.5103867481037737
NQ,2024,unconditional,259,121.20559845559846,108.0,0.7742386534428919,0.7015706806282722,0.20077220077220076,0.43739719687339573,0.425,0.06787585903397292,0.061855670103092786,0.5984555984555985,0.5984555984555985,0.47876447876447875,0.7413127413127413,0.5820759697466494,0.6126760563380281
NQ,2024,standard,209,111.78349282296651,103.25,0.8198963938950915,0.743,0.13875598086124402,0.4342492689837638,0.43661971830985913,0.10716982748175853,0.09633911368015415,0.6507177033492823,0.6507177033492823,0.4784688995215311,0.7559808612440191,0.6053920292325107,0.6413043478260869
NQ,2024,exhaustion,50,160.59,156.75,0.5833892983526973,0.5019210233076423,0.46,0.45055553545205723,0.38563464837049743,-0.09637292907777083,-0.05677965098382781,0.38,0.38,0.48,0.68,0.4846148410957491,0.5715303782788446
NQ,2025,unconditional,257,167.36284046692606,131.75,0.779179630217663,0.681704260651629,0.2529182879377432,0.45422651974243294,0.4583901773533424,0.08120305272043266,0.14685314685314685,0.603112840466926,0.603112840466926,0.47470817120622566,0.7431906614785992,0.5779462032079031,0.6430678466076696
NQ,2025,standard,208,153.31730769230768,117.75,0.8148992456575953,0.7024595189152151,0.22115384615384615,0.4539191226348328,0.45600960480570346,0.09885770702055725,0.1998931623931624,0.6153846153846154,0.6153846153846154,0.47596153846153844,0.7692307692307693,0.5843247212121822,0.6587196188789814
NQ,2025,exhaustion,49,226.98469387755102,195.75,0.6275535075338691,0.5242018537590113,0.3877551020408163,0.45553138909714375,0.463265306122449,0.006260846711740494,-0.08229813664596274,0.5510204081632653,0.5510204081632653,0.46938775510204084,0.6326530612244898,0.5508700451489236,0.6171143035602749
