trading_day,regime,mode,source,timeframe,variant,prior_trades,prior_total_r,prior_avg_r,day_trades,day_win_rate,day_avg_r,day_total_r,day_profit_factor,day_max_drawdown_r,day_pnl_usd,day_max_drawdown_usd
2025-01-14,drift_down,same_regime_only,same_regime_prior,1,vwap_delta_rejection,9,0.192412,0.021379,1,0.000000,-1.080000,-1.080000,0.000,1.080000,-30.240000,30.240000
2025-01-14,drift_down,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,9,0.192412,0.021379,1,0.000000,-1.080000,-1.080000,0.000,1.080000,-30.240000,30.240000
2025-01-23,rotation,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,18,0.031328,0.001740,3,100.000000,1.295999,3.887997,Inf,0.000000,84.780000,0.000000
2025-01-24,rotation,same_regime_only,same_regime_prior,1,vwap_delta_rejection,3,3.887997,1.295999,1,100.000000,0.196854,0.196854,Inf,0.000000,8.760000,0.000000
2025-01-24,rotation,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,3,3.887997,1.295999,1,100.000000,0.196854,0.196854,Inf,0.000000,8.760000,0.000000
2025-01-27,vvg_trend_up,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,22,4.116179,0.187099,2,100.000000,1.961695,3.923389,Inf,0.000000,238.520000,0.000000
2025-01-28,neutral_open,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,24,8.039569,0.334982,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-01-29,drift_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,24,8.039569,0.334982,1,0.000000,-1.025747,-1.025747,0.000,1.025747,-89.240000,89.240000
2025-01-30,neutral_open,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,25,7.013821,0.280553,1,0.000000,-1.065882,-1.065882,0.000,1.065882,-36.240000,36.240000
2025-01-31,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,4,7.768312,1.942078,1,0.000000,-1.058947,-1.058947,0.000,1.058947,-40.240000,40.240000
2025-01-31,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,4,7.768312,1.942078,1,0.000000,-1.058947,-1.058947,0.000,1.058947,-40.240000,40.240000
2025-02-03,neutral_open,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,27,4.888992,0.181074,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-04,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,5,6.709365,1.341873,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-04,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,5,6.709365,1.341873,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-05,rotation,same_regime_only,same_regime_prior,1,vwap_delta_rejection,4,4.084851,1.021213,1,0.000000,-1.040360,-1.040360,0.000,1.040360,-57.740000,57.740000
2025-02-05,rotation,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,4,4.084851,1.021213,1,0.000000,-1.040360,-1.040360,0.000,1.040360,-57.740000,57.740000
2025-02-06,rotation,same_regime_only,same_regime_prior,1,vwap_delta_rejection,5,3.044491,0.608898,1,100.000000,1.813333,1.813333,Inf,0.000000,21.760000,0.000000
2025-02-06,rotation,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,5,3.044491,0.608898,1,100.000000,1.813333,1.813333,Inf,0.000000,21.760000,0.000000
2025-02-07,neutral_open,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,29,5.661965,0.195240,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-10,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,5,6.709365,1.341873,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-10,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,5,6.709365,1.341873,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-11,drift_up,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,29,5.661965,0.195240,1,0.000000,-1.160000,-1.160000,0.000,1.160000,-16.240000,16.240000
2025-02-12,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,5,6.709365,1.341873,1,100.000000,1.845517,1.845517,Inf,0.000000,26.760000,0.000000
2025-02-12,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,5,6.709365,1.341873,1,100.000000,1.845517,1.845517,Inf,0.000000,26.760000,0.000000
2025-02-13,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,6,8.554882,1.425814,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-13,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,6,8.554882,1.425814,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-14,rotation,same_regime_only,same_regime_prior,1,vwap_delta_rejection,6,4.857824,0.809637,3,100.000000,1.340370,4.021110,Inf,0.000000,70.780000,0.000000
2025-02-14,rotation,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,6,4.857824,0.809637,3,100.000000,1.340370,4.021110,Inf,0.000000,70.780000,0.000000
2025-02-17,drift_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,34,10.368592,0.304959,1,100.000000,1.751111,1.751111,Inf,0.000000,15.760000,0.000000
2025-02-18,drift_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,35,12.119704,0.346277,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-19,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,35,12.119704,0.346277,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-20,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,35,12.119704,0.346277,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-21,drift_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,35,12.119704,0.346277,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-24,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,35,12.119704,0.346277,2,0.000000,-1.079206,-2.158412,0.000,2.158412,-61.480000,61.480000
2025-02-25,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,37,9.961292,0.269224,1,0.000000,-1.093333,-1.093333,0.000,1.093333,-26.240000,26.240000
2025-02-26,vvg_trend_up,same_regime_only,same_regime_prior,1,vwap_delta_rejection,6,8.554882,1.425814,1,100.000000,1.764211,1.764211,Inf,0.000000,16.760000,0.000000
2025-02-26,vvg_trend_up,fallback_enabled,same_regime_prior,1,vwap_delta_rejection,6,8.554882,1.425814,1,100.000000,1.764211,1.764211,Inf,0.000000,16.760000,0.000000
2025-02-27,vvg_trend_down,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,39,10.632169,0.272620,0,0.000000,0.000000,0.000000,0.000,0.000000,0.000000,0.000000
2025-02-28,neutral_open,fallback_enabled,all_prior_fallback,1,vwap_delta_rejection,39,10.632169,0.272620,1,100.000000,0.805496,0.805496,Inf,0.000000,52.760000,0.000000
