trading_day,open_time,complete,prior_rth_close,rth_open,gap_points,gap_pct,or5_range,or15_range,or30_range,or5_return,or15_return,or30_return,or5_volume,or15_volume,or30_volume,or5_bars,or15_bars,or30_bars,or30_range_z,or30_volume_z,gap_label,bias_label,range_label,volume_label,regime_label
2025-01-02,2025-01-02T14:30:00Z,true,0.000000,21352.500000,0.000000,0.000000,92.250000,206.500000,243.000000,-67.250000,-156.500000,32.500000,38189,133269,249329,5,15,30,0.000000,0.000000,gap_unknown,two_way_open,normal_opening_range,normal_opening_volume,neutral_open
2025-01-03,2025-01-03T14:30:00Z,true,21161.500000,21296.250000,134.750000,0.636770,86.000000,147.000000,157.750000,60.000000,120.000000,83.750000,30523,104472,218295,5,15,30,0.000000,0.000000,gap_up,open_drive_up,normal_opening_range,normal_opening_volume,vvg_trend_up
2025-01-06,2025-01-06T14:30:00Z,true,21511.000000,21726.250000,215.250000,1.000651,59.750000,105.000000,124.250000,43.250000,83.000000,86.000000,45983,122191,225346,5,15,30,0.000000,0.000000,gap_up,open_drive_up,normal_opening_range,normal_opening_volume,vvg_trend_up
2025-01-07,2025-01-07T14:30:00Z,true,21734.500000,21792.500000,58.000000,0.266857,44.750000,111.250000,111.250000,-28.250000,-43.750000,-81.250000,31859,110907,201618,5,15,30,-1.275244,-2.211201,gap_up,open_drive_down,narrow_opening_range,low_opening_volume,drift_down
2025-01-08,2025-01-08T14:30:00Z,true,21358.250000,21360.500000,2.250000,0.010535,54.250000,95.000000,99.750000,-34.500000,-17.750000,-20.750000,33689,109156,215621,5,15,30,-1.155179,-0.468012,flat_gap,open_drive_down,narrow_opening_range,normal_opening_volume,drift_down
2025-01-09,2025-01-09T14:30:00Z,false,21357.250000,21302.250000,-55.000000,-0.257524,9.750000,9.750000,9.750000,-0.500000,-0.500000,-0.500000,500,500,500,1,1,1,-2.659095,-14.137029,opening_data_incomplete,opening_data_incomplete,opening_data_incomplete,opening_data_incomplete,incomplete_open
2025-01-10,2025-01-10T14:30:00Z,true,21301.750000,21188.000000,-113.750000,-0.533994,83.250000,129.500000,187.250000,-5.750000,-91.500000,-131.000000,42598,142896,254302,5,15,30,1.755672,0.951210,gap_down,open_drive_down,wide_opening_range,normal_opening_volume,vvg_trend_down
2025-01-13,2025-01-13T14:30:00Z,true,21030.000000,20769.000000,-261.000000,-1.241084,43.500000,84.500000,139.750000,-8.500000,4.750000,33.000000,41669,122999,237117,5,15,30,0.583864,0.632432,gap_down,open_drive_up,normal_opening_range,normal_opening_volume,drift_up
2025-01-14,2025-01-14T14:30:00Z,true,20959.500000,21080.750000,121.250000,0.578497,65.750000,111.250000,146.500000,-24.250000,14.500000,-93.750000,34072,104337,203198,5,15,30,0.633533,0.231146,gap_up,open_drive_down,normal_opening_range,normal_opening_volume,drift_down
2025-01-15,2025-01-15T14:30:00Z,true,20892.750000,21251.250000,358.500000,1.715906,62.000000,117.500000,160.000000,18.000000,51.750000,81.000000,36825,118273,211072,5,15,30,0.720890,0.312674,gap_up,open_drive_up,normal_opening_range,normal_opening_volume,vvg_trend_up
2025-01-16,2025-01-16T14:30:00Z,true,21401.750000,21490.750000,89.000000,0.415854,82.750000,94.750000,130.500000,-71.500000,-83.500000,-102.000000,38854,111339,200667,5,15,30,0.030014,0.210741,gap_up,open_drive_down,normal_opening_range,normal_opening_volume,drift_down
2025-01-17,2025-01-17T14:30:00Z,true,21262.000000,21656.500000,394.500000,1.855423,112.750000,167.500000,175.500000,-90.250000,-154.500000,-148.250000,57373,150623,248839,5,15,30,1.150662,1.315044,gap_up,open_drive_down,wide_opening_range,high_opening_volume,vvg_trend_down
2025-01-20,2025-01-20T14:30:00Z,true,21581.000000,21722.250000,141.250000,0.654511,27.000000,61.250000,66.750000,14.500000,48.500000,14.500000,11362,37119,67342,5,15,30,-5.300442,-7.923567,gap_up,open_drive_up,narrow_opening_range,low_opening_volume,vvg_trend_up
2025-01-21,2025-01-21T14:30:00Z,true,21680.500000,21701.250000,20.750000,0.095708,33.750000,129.000000,146.000000,-2.000000,-67.250000,-82.000000,32406,114087,221825,5,15,30,0.269882,0.574999,flat_gap,open_drive_down,normal_opening_range,normal_opening_volume,drift_down
2025-01-22,2025-01-22T14:30:00Z,true,21711.500000,21912.500000,201.000000,0.925777,79.500000,79.500000,125.250000,43.250000,38.000000,107.000000,48014,113404,199007,5,15,30,-0.279395,0.142942,gap_up,open_drive_up,normal_opening_range,normal_opening_volume,vvg_trend_up
2025-01-23,2025-01-23T14:30:00Z,true,22006.750000,21882.000000,-124.750000,-0.566872,31.500000,48.500000,52.250000,12.500000,28.250000,6.250000,31004,83471,137414,5,15,30,-2.149327,-0.798826,gap_down,two_way_open,narrow_opening_range,low_opening_volume,rotation
2025-01-24,2025-01-24T14:30:00Z,true,22033.000000,22045.750000,12.750000,0.057868,43.500000,52.750000,78.000000,-19.250000,-26.750000,9.000000,35897,92106,165808,5,15,30,-0.750260,-0.139326,flat_gap,two_way_open,narrow_opening_range,normal_opening_volume,rotation
2025-01-27,2025-01-27T14:30:00Z,true,21911.000000,21117.500000,-793.500000,-3.621469,162.500000,183.250000,232.750000,108.750000,160.250000,215.500000,71890,165519,261700,5,15,30,3.881426,1.923234,gap_down,open_drive_up,wide_opening_range,high_opening_volume,vvg_trend_up
2025-01-28,2025-01-28T14:30:00Z,true,21254.250000,21298.250000,44.000000,0.207017,79.000000,139.250000,159.000000,-23.750000,-114.000000,-24.250000,45745,128491,236022,5,15,30,0.514343,0.899868,gap_up,two_way_open,normal_opening_range,normal_opening_volume,neutral_open
2025-01-29,2025-01-29T14:30:00Z,true,21574.750000,21606.750000,32.000000,0.148322,63.500000,108.250000,112.750000,-46.500000,-99.000000,-84.250000,34361,102217,180316,5,15,30,-0.262944,-0.435774,gap_up,open_drive_down,normal_opening_range,normal_opening_volume,drift_down
2025-01-30,2025-01-30T14:30:00Z,true,21534.750000,21659.750000,125.000000,0.580457,39.250000,71.500000,151.500000,-16.250000,-12.500000,5.750000,36502,110223,219318,5,15,30,0.384358,0.503155,gap_up,two_way_open,normal_opening_range,normal_opening_volume,neutral_open
2025-01-31,2025-01-31T14:30:00Z,true,21631.250000,21775.500000,144.250000,0.666859,72.500000,74.250000,102.250000,39.750000,21.250000,70.000000,37356,92055,166580,5,15,30,-0.858920,-1.304003,gap_up,open_drive_up,narrow_opening_range,low_opening_volume,vvg_trend_up
2025-02-03,2025-02-03T14:30:00Z,true,21589.750000,21201.000000,-388.750000,-1.800623,77.500000,137.000000,142.250000,18.250000,78.500000,28.000000,46197,132536,220524,5,15,30,-0.204301,0.220343,gap_down,two_way_open,normal_opening_range,normal_opening_volume,neutral_open
2025-02-04,2025-02-04T14:30:00Z,true,21425.000000,21428.500000,3.500000,0.016336,61.000000,118.500000,170.750000,20.500000,88.000000,144.000000,30939,91877,155882,5,15,30,1.677813,-1.841459,flat_gap,open_drive_up,wide_opening_range,low_opening_volume,vvg_trend_up
2025-02-05,2025-02-05T14:30:00Z,true,21674.750000,21553.750000,-121.000000,-0.558253,39.000000,68.750000,71.750000,-11.750000,21.250000,1.000000,29649,87855,149007,5,15,30,-2.549150,-1.475444,gap_down,two_way_open,narrow_opening_range,low_opening_volume,rotation
2025-02-06,2025-02-06T14:30:00Z,true,21764.500000,21778.000000,13.500000,0.062028,43.000000,43.000000,84.750000,-22.000000,-16.000000,4.250000,27848,71622,149753,5,15,30,-1.199594,-1.040077,flat_gap,two_way_open,narrow_opening_range,low_opening_volume,rotation
2025-02-07,2025-02-07T14:30:00Z,true,21869.500000,21889.000000,19.500000,0.089165,82.000000,98.250000,98.250000,61.000000,57.250000,15.750000,37901,88219,149035,5,15,30,-0.436679,-0.719727,flat_gap,two_way_open,normal_opening_range,normal_opening_volume,neutral_open
2025-02-10,2025-02-10T14:30:00Z,true,21586.250000,21761.000000,174.750000,0.809543,37.500000,55.250000,66.750000,-9.000000,31.000000,25.500000,25405,74444,144804,5,15,30,-1.259239,-0.716580,gap_up,open_drive_up,narrow_opening_range,normal_opening_volume,vvg_trend_up
2025-02-11,2025-02-11T14:30:00Z,true,21846.000000,21703.000000,-143.000000,-0.654582,67.500000,96.750000,106.000000,63.000000,80.500000,86.250000,29803,77024,123985,5,15,30,0.199895,-7.236814,gap_down,open_drive_up,normal_opening_range,low_opening_volume,drift_up
2025-02-12,2025-02-12T14:30:00Z,true,21784.500000,21554.750000,-229.750000,-1.054649,44.500000,120.000000,165.250000,19.250000,88.250000,120.500000,33582,99340,176815,5,15,30,5.319031,3.410270,gap_down,open_drive_up,wide_opening_range,high_opening_volume,vvg_trend_up
2025-02-13,2025-02-13T14:30:00Z,true,21807.000000,21868.500000,61.500000,0.282020,87.250000,116.000000,116.000000,78.750000,14.750000,55.250000,41965,127381,202576,5,15,30,0.354287,3.189147,gap_up,open_drive_up,normal_opening_range,high_opening_volume,vvg_trend_up
2025-02-14,2025-02-14T14:30:00Z,true,22118.750000,22117.250000,-1.500000,-0.006782,39.750000,50.000000,54.000000,-11.250000,-11.250000,5.750000,29989,77908,136812,5,15,30,-1.765412,-0.827235,flat_gap,two_way_open,narrow_opening_range,low_opening_volume,rotation
2025-02-17,2025-02-17T14:30:00Z,true,22210.500000,22240.750000,30.250000,0.136197,24.750000,50.250000,50.250000,-19.250000,-39.750000,-26.250000,10347,31025,46455,5,15,30,-1.303591,-3.852789,gap_up,open_drive_down,narrow_opening_range,low_opening_volume,drift_down
2025-02-18,2025-02-18T14:30:00Z,true,22235.250000,22265.000000,29.750000,0.133797,45.000000,45.000000,103.250000,-4.250000,-31.250000,-52.500000,39058,87569,177217,5,15,30,0.115863,0.747107,gap_up,open_drive_down,normal_opening_range,normal_opening_volume,drift_down
2025-02-19,2025-02-19T14:30:00Z,true,22231.750000,22205.250000,-26.500000,-0.119199,37.250000,48.750000,67.000000,-15.000000,-26.250000,-32.250000,27884,80016,137603,5,15,30,-0.721192,-0.188744,gap_down,open_drive_down,normal_opening_range,normal_opening_volume,vvg_trend_down
2025-02-20,2025-02-20T14:30:00Z,true,22251.250000,22213.000000,-38.250000,-0.171900,47.000000,55.500000,211.000000,-31.750000,-12.250000,-180.750000,27604,74681,198394,5,15,30,4.988649,1.098398,flat_gap,open_drive_down,wide_opening_range,high_opening_volume,vvg_trend_down
2025-02-21,2025-02-21T14:30:00Z,true,22144.000000,22202.500000,58.500000,0.264180,68.750000,106.000000,117.250000,-41.000000,-78.000000,-95.750000,39732,101057,175428,5,15,30,0.336118,0.693841,gap_up,open_drive_down,normal_opening_range,normal_opening_volume,drift_down
