regime_tf,method,entry_tf,variant,baseline_trades,baseline_win_rate,baseline_avg_r,baseline_total_r,baseline_max_dd_r,aligned_trades,aligned_win_rate,aligned_avg_r,aligned_total_r,aligned_max_dd_r,against_trades,against_win_rate,against_avg_r,against_total_r,against_max_dd_r,neutral_trades,neutral_win_rate,neutral_avg_r,neutral_total_r,neutral_max_dd_r,missing_trades,kept_pct,avg_regime_strength,aligned_total_r_improvement,aligned_avg_r_improvement
30,adx_dmi,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,201,39.303483,-0.088682,-17.825172,28.137678,195,34.871795,-0.182029,-35.495594,43.484337,62,37.096774,-0.135354,-8.391919,18.077635,3,43.600868,35.982021,44.297566,0.046074
30,donchian20,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,5,40.000000,-0.222959,-1.114795,1.883942,5,40.000000,0.073237,0.366184,1.154483,448,37.053571,-0.136081,-60.964073,75.320002,3,1.084599,0.449462,61.007942,-0.088203
30,ema20_ema50,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,152,32.236842,-0.254924,-38.748522,50.419130,149,40.268456,-0.070097,-10.444482,21.006035,156,39.102564,-0.073476,-11.462244,36.255138,4,32.971800,1.196956,23.374216,-0.120168
30,ema20_slope,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,201,33.333333,-0.249639,-50.177446,64.106172,198,39.393939,-0.075644,-14.977416,23.084621,59,42.372881,0.058342,3.442178,9.119206,3,43.600868,0.958389,11.945291,-0.114883
30,macd_hist,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,232,39.655172,-0.077819,-18.053985,32.856825,226,34.513274,-0.193180,-43.658699,48.452887,0,0.000000,0.000000,0.000000,0.000000,3,50.325380,0.172165,44.068753,0.056938
30,macd_zero_trend,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,113,35.398230,-0.161136,-18.208351,26.438102,99,35.353535,-0.184136,-18.229427,23.477241,246,38.617886,-0.102744,-25.274906,42.839694,3,24.511931,0.172165,43.914387,-0.026379
30,session_vwap,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,180,33.333333,-0.276386,-49.749468,59.025245,213,38.028169,-0.091917,-19.578365,22.600757,67,44.776119,0.124941,8.371021,13.068409,1,39.045553,0.444889,12.373269,-0.141629
30,swing_structure,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,147,35.374150,-0.183971,-27.043716,37.432239,136,39.705882,-0.093192,-12.674124,32.176840,177,36.723164,-0.119994,-21.238972,23.024437,1,31.887202,3.308394,35.079022,-0.049214
60,adx_dmi,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,212,36.320755,-0.129995,-27.558936,48.964661,196,38.265306,-0.128202,-25.127666,28.634046,49,36.734694,-0.162625,-7.968646,14.362828,4,45.986985,39.486104,34.563802,0.004762
60,donchian20,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,5,20.000000,-0.746750,-3.733751,4.031142,7,0.000000,-1.177501,-8.242510,8.242510,445,37.977528,-0.109391,-48.678988,68.950662,4,1.084599,0.245423,58.388987,-0.611994
60,ema20_ema50,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,179,36.312849,-0.138515,-24.794139,37.684958,155,38.064516,-0.124124,-19.239166,20.144750,113,37.168142,-0.134682,-15.219078,25.667598,14,38.828633,1.236717,37.328598,-0.003758
60,ema20_slope,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,222,35.135135,-0.167590,-37.204886,51.483822,197,39.086294,-0.088814,-17.496373,23.285474,38,39.473684,-0.156684,-5.953989,11.818243,4,48.156182,1.167273,24.917851,-0.032833
60,macd_hist,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,208,35.576923,-0.181072,-37.662887,50.579750,245,38.367347,-0.092900,-22.760559,33.238745,0,0.000000,0.000000,0.000000,0.000000,8,45.119306,0.174578,24.459850,-0.046315
60,macd_zero_trend,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,102,37.254902,-0.082960,-8.461920,15.487202,109,41.284404,-0.012764,-1.391280,10.044706,242,35.123967,-0.208968,-50.570247,66.324828,8,22.125813,0.174578,53.660818,0.051796
60,session_vwap,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,199,36.180905,-0.188303,-37.472355,55.559735,200,38.500000,-0.068286,-13.657148,21.235452,60,36.666667,-0.144135,-8.648109,17.227077,2,43.167028,0.454262,24.650383,-0.053547
60,swing_structure,1,vwap_delta_rejection,461,37.093275,-0.134756,-62.122738,75.594131,119,38.655462,-0.062648,-7.455054,15.790283,121,37.190083,-0.181971,-22.018469,30.559408,219,36.529680,-0.138375,-30.304089,38.323738,2,25.813449,3.166880,54.667684,0.072109
