regime_tf,method,alignment,regime_time,regime_session_time,regime_direction,regime_label,regime_strength,instrument,entry_tf,variant,signal_time,entry_time,exit_time,entry_session_time,trading_day,session_rollup,rth_segment,direction,reason,outcome,r,mfe_r,mae_r,risk_points,level,entry,stop,target,exit,delta_pct,volume_ratio,depth_imbalance,signal_volume,signal_trades,signal_depth_rows
30,adx_dmi,missing,,,neutral,,0.000000,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-01T23:21:00Z,2025-01-01T23:21:00Z,2025-01-01T23:22:00Z,2025-01-01T18:21:00-05:00,2025-01-02,overnight,overnight,short,vwap_bear_rejection,stop,-1.165926,0.185185,-1.444444,6.7500,21295.9775,21289.5000,21296.2500,21276.0000,21296.2500,-0.249597,1.363487,0.000000,621,362,0
30,adx_dmi,missing,,,neutral,,0.000000,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-01T23:31:00Z,2025-01-01T23:31:00Z,2025-01-01T23:32:00Z,2025-01-01T18:31:00-05:00,2025-01-02,overnight,overnight,long,vwap_bull_rejection,stop,-1.179200,0.040000,-1.760000,6.2500,21296.4376,21304.2500,21298.0000,21316.7500,21298.0000,0.203579,1.482095,0.000000,447,302,0
30,adx_dmi,missing,,,neutral,,0.000000,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-02T00:47:00Z,2025-01-02T00:47:00Z,2025-01-02T01:03:00Z,2025-01-01T19:47:00-05:00,2025-01-02,overnight,overnight,long,vwap_bull_rejection,target,1.935072,2.376812,-0.942029,17.2500,21220.5374,21236.2500,21219.0000,21270.7500,21270.7500,0.136945,2.112640,0.000000,1643,888,0
30,adx_dmi,aligned,2025-01-02T16:30:00Z,2025-01-02T11:30:00-05:00,short,bearish,36.372910,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-02T17:03:00Z,2025-01-02T17:03:00Z,2025-01-02T17:05:00Z,2025-01-02T12:03:00-05:00,2025-01-02,rth_09_30_16_00,rth_lunch_11_30_13_30,short,vwap_bear_rejection,stop,-1.057436,0.166667,-1.679487,19.5000,21318.0086,21304.2500,21323.7500,21265.2500,21323.7500,-0.127061,1.481579,0.000000,3943,2290,0
30,adx_dmi,aligned,2025-01-03T04:30:00Z,2025-01-02T23:30:00-05:00,long,bullish,39.653928,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T05:05:00Z,2025-01-03T05:05:00Z,2025-01-03T05:19:00Z,2025-01-03T00:05:00-05:00,2025-01-03,overnight,overnight,long,vwap_bull_rejection,stop,-1.224000,0.900000,-1.900000,5.0000,21217.7945,21220.0000,21215.0000,21230.0000,21215.0000,0.373418,1.693916,0.000000,316,150,0
30,adx_dmi,aligned,2025-01-03T04:30:00Z,2025-01-02T23:30:00-05:00,long,bullish,39.653928,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T05:28:00Z,2025-01-03T05:28:00Z,2025-01-03T05:33:00Z,2025-01-03T00:28:00-05:00,2025-01-03,overnight,overnight,long,vwap_bull_rejection,target,1.592727,2.000000,-0.909091,2.7500,21217.7599,21220.7500,21218.0000,21226.2500,21226.2500,0.400966,1.239150,0.000000,207,119,0
30,adx_dmi,against,2025-01-03T06:30:00Z,2025-01-03T01:30:00-05:00,long,bullish,40.069941,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T07:13:00Z,2025-01-03T07:13:00Z,2025-01-03T07:14:00Z,2025-01-03T02:13:00-05:00,2025-01-03,overnight,overnight,short,vwap_bear_rejection,stop,-1.263529,0.000000,-1.529412,4.2500,21220.6657,21216.2500,21220.5000,21207.7500,21220.5000,-0.234469,2.073982,0.000000,499,280,0
30,adx_dmi,aligned,2025-01-03T06:30:00Z,2025-01-03T01:30:00-05:00,long,bullish,40.069941,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T07:16:00Z,2025-01-03T07:16:00Z,2025-01-03T07:36:00Z,2025-01-03T02:16:00-05:00,2025-01-03,overnight,overnight,long,vwap_bull_rejection,timeout,0.663000,1.325000,-0.675000,10.0000,21220.7323,21230.5000,21220.5000,21250.5000,21238.2500,0.225659,3.074485,0.000000,873,482,0
30,adx_dmi,neutral,2025-01-03T10:30:00Z,2025-01-03T05:30:00-05:00,neutral,neutral,17.836217,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T11:23:00Z,2025-01-03T11:23:00Z,2025-01-03T11:28:00Z,2025-01-03T06:23:00-05:00,2025-01-03,overnight,overnight,long,vwap_bull_rejection,target,1.776000,2.700000,-0.700000,5.0000,21233.9909,21239.0000,21234.0000,21249.0000,21249.0000,0.360000,1.336422,0.000000,375,193,0
30,adx_dmi,neutral,2025-01-03T11:30:00Z,2025-01-03T06:30:00-05:00,neutral,neutral,13.754999,MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T12:16:00Z,2025-01-03T12:16:00Z,2025-01-03T12:19:00Z,2025-01-03T07:16:00-05:00,2025-01-03,overnight,overnight,short,vwap_bear_rejection,target,1.840000,2.392857,-0.071429,7.0000,21234.3715,21226.7500,21233.7500,21212.7500,21212.7500,-0.318519,1.588002,0.000000,540,327,0
