instrument,timeframe,variant,signal_time,entry_time,exit_time,entry_session_time,session_rollup,rth_segment,trading_day,direction,reason,level,entry,stop,target,exit,outcome,r,mfe_r,mae_r,risk_points,delta,delta_pct,depth_imbalance,wick_ratio,volume_ratio,signal_volume,bid_volume,ask_volume,depth_bid_churn,depth_ask_churn,top_bid_churn,top_ask_churn,quote_bid_churn,quote_ask_churn,bid_quote_updates,ask_quote_updates,signal_trades,signal_depth_rows
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-01T23:21:00Z,2025-01-01T23:21:00Z,2025-01-01T23:22:00Z,2025-01-01T18:21:00-05:00,overnight,overnight,2025-01-02,short,vwap_bear_rejection,21295.9775,21289.5000,21296.2500,21276.0000,21296.2500,stop,-1.165926,0.185185,-1.444444,6.7500,-155,-0.249597,0.000000,0.000000,1.363487,621,388,233,0,0,0,0,0,0,0,0,362,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-01T23:31:00Z,2025-01-01T23:31:00Z,2025-01-01T23:32:00Z,2025-01-01T18:31:00-05:00,overnight,overnight,2025-01-02,long,vwap_bull_rejection,21296.4376,21304.2500,21298.0000,21316.7500,21298.0000,stop,-1.179200,0.040000,-1.760000,6.2500,91,0.203579,0.000000,0.000000,1.482095,447,178,269,0,0,0,0,0,0,0,0,302,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-02T00:47:00Z,2025-01-02T00:47:00Z,2025-01-02T01:03:00Z,2025-01-01T19:47:00-05:00,overnight,overnight,2025-01-02,long,vwap_bull_rejection,21220.5374,21236.2500,21219.0000,21270.7500,21270.7500,target,1.935072,2.376812,-0.942029,17.2500,225,0.136945,0.000000,0.000000,2.112640,1643,709,934,0,0,0,0,0,0,0,0,888,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-02T17:03:00Z,2025-01-02T17:03:00Z,2025-01-02T17:05:00Z,2025-01-02T12:03:00-05:00,rth_09_30_16_00,rth_lunch_11_30_13_30,2025-01-02,short,vwap_bear_rejection,21318.0086,21304.2500,21323.7500,21265.2500,21323.7500,stop,-1.057436,0.166667,-1.679487,19.5000,-501,-0.127061,0.000000,0.000000,1.481579,3943,2222,1721,0,0,0,0,0,0,0,0,2290,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T05:05:00Z,2025-01-03T05:05:00Z,2025-01-03T05:19:00Z,2025-01-03T00:05:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21217.7945,21220.0000,21215.0000,21230.0000,21215.0000,stop,-1.224000,0.900000,-1.900000,5.0000,118,0.373418,0.000000,0.000000,1.693916,316,99,217,0,0,0,0,0,0,0,0,150,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T05:28:00Z,2025-01-03T05:28:00Z,2025-01-03T05:33:00Z,2025-01-03T00:28:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21217.7599,21220.7500,21218.0000,21226.2500,21226.2500,target,1.592727,2.000000,-0.909091,2.7500,83,0.400966,0.000000,0.000000,1.239150,207,62,145,0,0,0,0,0,0,0,0,119,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T07:13:00Z,2025-01-03T07:13:00Z,2025-01-03T07:14:00Z,2025-01-03T02:13:00-05:00,overnight,overnight,2025-01-03,short,vwap_bear_rejection,21220.6657,21216.2500,21220.5000,21207.7500,21220.5000,stop,-1.263529,0.000000,-1.529412,4.2500,-117,-0.234469,0.000000,0.000000,2.073982,499,308,191,0,0,0,0,0,0,0,0,280,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T07:16:00Z,2025-01-03T07:16:00Z,2025-01-03T07:36:00Z,2025-01-03T02:16:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21220.7323,21230.5000,21220.5000,21250.5000,21238.2500,timeout,0.663000,1.325000,-0.675000,10.0000,197,0.225659,0.000000,0.000000,3.074485,873,338,535,0,0,0,0,0,0,0,0,482,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T11:23:00Z,2025-01-03T11:23:00Z,2025-01-03T11:28:00Z,2025-01-03T06:23:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21233.9909,21239.0000,21234.0000,21249.0000,21249.0000,target,1.776000,2.700000,-0.700000,5.0000,135,0.360000,0.000000,0.000000,1.336422,375,120,255,0,0,0,0,0,0,0,0,193,0
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T12:16:00Z,2025-01-03T12:16:00Z,2025-01-03T12:19:00Z,2025-01-03T07:16:00-05:00,overnight,overnight,2025-01-03,short,vwap_bear_rejection,21234.3715,21226.7500,21233.7500,21212.7500,21212.7500,target,1.840000,2.392857,-0.071429,7.0000,-172,-0.318519,0.000000,0.000000,1.588002,540,356,184,0,0,0,0,0,0,0,0,327,0
