instrument,timeframe,variant,signal_time,entry_time,exit_time,entry_session_time,session_rollup,rth_segment,trading_day,direction,reason,level,entry,stop,target,exit,outcome,r,mfe_r,mae_r,risk_points,delta,delta_pct,depth_imbalance,wick_ratio,volume_ratio,signal_volume,bid_volume,ask_volume,depth_bid_churn,depth_ask_churn,top_bid_churn,top_ask_churn,quote_bid_churn,quote_ask_churn,bid_quote_updates,ask_quote_updates,signal_trades,signal_depth_rows,pnl
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-01T23:21:00Z,2025-01-01 23:21:00+00:00,2025-01-01 23:22:00+00:00,2025-01-01T18:21:00-05:00,overnight,overnight,2025-01-02,short,vwap_bear_rejection,21295.9775000000,21289.5000000000,21296.2500000000,21276.0000000000,21296.2500000000,stop,-1.1659260000,0.1851850000,-1.4444440000,6.7500000000,-155,-0.2495970000,0.0000000000,0.0000000000,1.3634870000,621,388,233,0,0,0,0,0,0,0,0,362,0,-15.7400010000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-01T23:31:00Z,2025-01-01 23:31:00+00:00,2025-01-01 23:32:00+00:00,2025-01-01T18:31:00-05:00,overnight,overnight,2025-01-02,long,vwap_bull_rejection,21296.4376000000,21304.2500000000,21298.0000000000,21316.7500000000,21298.0000000000,stop,-1.1792000000,0.0400000000,-1.7600000000,6.2500000000,91,0.2035790000,0.0000000000,0.0000000000,1.4820950000,447,178,269,0,0,0,0,0,0,0,0,302,0,-14.7400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-02T00:47:00Z,2025-01-02 00:47:00+00:00,2025-01-02 01:03:00+00:00,2025-01-01T19:47:00-05:00,overnight,overnight,2025-01-02,long,vwap_bull_rejection,21220.5374000000,21236.2500000000,21219.0000000000,21270.7500000000,21270.7500000000,target,1.9350720000,2.3768120000,-0.9420290000,17.2500000000,225,0.1369450000,0.0000000000,0.0000000000,2.1126400000,1643,709,934,0,0,0,0,0,0,0,0,888,0,66.7599840000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-02T17:03:00Z,2025-01-02 17:03:00+00:00,2025-01-02 17:05:00+00:00,2025-01-02T12:03:00-05:00,rth_09_30_16_00,rth_lunch_11_30_13_30,2025-01-02,short,vwap_bear_rejection,21318.0086000000,21304.2500000000,21323.7500000000,21265.2500000000,21323.7500000000,stop,-1.0574360000,0.1666670000,-1.6794870000,19.5000000000,-501,-0.1270610000,0.0000000000,0.0000000000,1.4815790000,3943,2222,1721,0,0,0,0,0,0,0,0,2290,0,-41.2400040000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T05:05:00Z,2025-01-03 05:05:00+00:00,2025-01-03 05:19:00+00:00,2025-01-03T00:05:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21217.7945000000,21220.0000000000,21215.0000000000,21230.0000000000,21215.0000000000,stop,-1.2240000000,0.9000000000,-1.9000000000,5.0000000000,118,0.3734180000,0.0000000000,0.0000000000,1.6939160000,316,99,217,0,0,0,0,0,0,0,0,150,0,-12.2400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T05:28:00Z,2025-01-03 05:28:00+00:00,2025-01-03 05:33:00+00:00,2025-01-03T00:28:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21217.7599000000,21220.7500000000,21218.0000000000,21226.2500000000,21226.2500000000,target,1.5927270000,2.0000000000,-0.9090910000,2.7500000000,83,0.4009660000,0.0000000000,0.0000000000,1.2391500000,207,62,145,0,0,0,0,0,0,0,0,119,0,8.7599985000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T07:13:00Z,2025-01-03 07:13:00+00:00,2025-01-03 07:14:00+00:00,2025-01-03T02:13:00-05:00,overnight,overnight,2025-01-03,short,vwap_bear_rejection,21220.6657000000,21216.2500000000,21220.5000000000,21207.7500000000,21220.5000000000,stop,-1.2635290000,0.0000000000,-1.5294120000,4.2500000000,-117,-0.2344690000,0.0000000000,0.0000000000,2.0739820000,499,308,191,0,0,0,0,0,0,0,0,280,0,-10.7399965000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T07:16:00Z,2025-01-03 07:16:00+00:00,2025-01-03 07:36:00+00:00,2025-01-03T02:16:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21220.7323000000,21230.5000000000,21220.5000000000,21250.5000000000,21238.2500000000,timeout,0.6630000000,1.3250000000,-0.6750000000,10.0000000000,197,0.2256590000,0.0000000000,0.0000000000,3.0744850000,873,338,535,0,0,0,0,0,0,0,0,482,0,13.2600000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T11:23:00Z,2025-01-03 11:23:00+00:00,2025-01-03 11:28:00+00:00,2025-01-03T06:23:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21233.9909000000,21239.0000000000,21234.0000000000,21249.0000000000,21249.0000000000,target,1.7760000000,2.7000000000,-0.7000000000,5.0000000000,135,0.3600000000,0.0000000000,0.0000000000,1.3364220000,375,120,255,0,0,0,0,0,0,0,0,193,0,17.7600000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T12:16:00Z,2025-01-03 12:16:00+00:00,2025-01-03 12:19:00+00:00,2025-01-03T07:16:00-05:00,overnight,overnight,2025-01-03,short,vwap_bear_rejection,21234.3715000000,21226.7500000000,21233.7500000000,21212.7500000000,21212.7500000000,target,1.8400000000,2.3928570000,-0.0714290000,7.0000000000,-172,-0.3185190000,0.0000000000,0.0000000000,1.5880020000,540,356,184,0,0,0,0,0,0,0,0,327,0,25.7600000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T12:31:00Z,2025-01-03 12:31:00+00:00,2025-01-03 12:32:00+00:00,2025-01-03T07:31:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21233.9148000000,21237.5000000000,21233.0000000000,21246.5000000000,21233.0000000000,stop,-1.2488890000,0.0000000000,-1.8888890000,4.5000000000,107,0.1589900000,0.0000000000,0.0000000000,1.5555300000,673,283,390,0,0,0,0,0,0,0,0,370,0,-11.2400010000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-03T13:55:00Z,2025-01-03 13:55:00+00:00,2025-01-03 13:56:00+00:00,2025-01-03T08:55:00-05:00,overnight,overnight,2025-01-03,long,vwap_bull_rejection,21236.4844000000,21242.2500000000,21236.2500000000,21254.2500000000,21236.2500000000,stop,-1.1866670000,0.2500000000,-1.5000000000,6.0000000000,108,0.1144070000,0.0000000000,0.0000000000,1.6490520000,944,418,526,0,0,0,0,0,0,0,0,540,0,-14.2400040000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-05T23:07:00Z,2025-01-05 23:07:00+00:00,2025-01-05 23:12:00+00:00,2025-01-05T18:07:00-05:00,overnight,overnight,2025-01-06,short,vwap_bear_rejection,21526.4089000000,21519.2500000000,21525.7500000000,21506.2500000000,21525.7500000000,stop,-1.1723080000,0.8846150000,-1.3076920000,6.5000000000,-84,-0.1153850000,0.0000000000,0.0000000000,2.0934580000,728,406,322,0,0,0,0,0,0,0,0,471,0,-15.2400040000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-05T23:42:00Z,2025-01-05 23:42:00+00:00,2025-01-05 23:44:00+00:00,2025-01-05T18:42:00-05:00,overnight,overnight,2025-01-06,long,vwap_bull_rejection,21522.3396000000,21527.5000000000,21521.2500000000,21540.0000000000,21521.2500000000,stop,-1.1792000000,0.4000000000,-1.0000000000,6.2500000000,132,0.2299650000,0.0000000000,0.0000000000,1.8055990000,574,221,353,0,0,0,0,0,0,0,0,338,0,-14.7400000000
