query_row_id,query_decision_time,query_direction,query_score,proposed_trade,neighbor_rank,neighbor_row_id,neighbor_decision_time,neighbor_trading_day,neighbor_direction,neighbor_outcome,neighbor_target_before_stop,neighbor_net_pnl
11690,2026-06-01 12:25:00+00:00,1.00000000,0.71634118,False,1,3339,2026-04-18 02:05:00+00:00,2026-04-18,-1.00000000,target,1,40.80571429
11690,2026-06-01 12:25:00+00:00,1.00000000,0.71634118,False,2,4598,2026-04-24 22:15:00+00:00,2026-04-25,1.00000000,stop,0,-28.90857143
11690,2026-06-01 12:25:00+00:00,1.00000000,0.71634118,False,3,6332,2026-05-04 20:40:00+00:00,2026-05-04,1.00000000,target,1,100.09142857
11690,2026-06-01 12:25:00+00:00,1.00000000,0.71634118,False,4,3719,2026-04-21 21:45:00+00:00,2026-04-21,-1.00000000,target,1,61.73428571
11690,2026-06-01 12:25:00+00:00,1.00000000,0.71634118,False,5,6414,2026-05-05 00:05:00+00:00,2026-05-05,1.00000000,target,1,62.23428571
11514,2026-05-29 19:05:00+00:00,1.00000000,0.68690565,False,1,9949,2026-05-19 18:20:00+00:00,2026-05-19,-1.00000000,target,1,53.37714286
11514,2026-05-29 19:05:00+00:00,1.00000000,0.68690565,False,2,3266,2026-04-17 23:05:00+00:00,2026-04-18,1.00000000,target,1,51.52000000
11514,2026-05-29 19:05:00+00:00,1.00000000,0.68690565,False,3,4052,2026-04-23 01:35:00+00:00,2026-04-23,1.00000000,target,1,32.16285714
11514,2026-05-29 19:05:00+00:00,1.00000000,0.68690565,False,4,6463,2026-05-05 02:05:00+00:00,2026-05-05,-1.00000000,stop,0,-26.76571429
11514,2026-05-29 19:05:00+00:00,1.00000000,0.68690565,False,5,7378,2026-05-08 02:35:00+00:00,2026-05-08,1.00000000,target,1,57.02000000
11115,2026-05-28 02:00:00+00:00,-1.00000000,0.64337602,False,1,8451,2026-05-13 22:30:00+00:00,2026-05-14,-1.00000000,stop,0,-35.94428571
11115,2026-05-28 02:00:00+00:00,-1.00000000,0.64337602,False,2,8461,2026-05-13 22:55:00+00:00,2026-05-14,-1.00000000,target,1,51.44857143
11115,2026-05-28 02:00:00+00:00,-1.00000000,0.64337602,False,3,1808,2026-04-09 21:50:00+00:00,2026-04-09,1.00000000,target,1,55.52000000
11115,2026-05-28 02:00:00+00:00,-1.00000000,0.64337602,False,4,6961,2026-05-06 21:15:00+00:00,2026-05-06,-1.00000000,target,1,109.16285714
11115,2026-05-28 02:00:00+00:00,-1.00000000,0.64337602,False,5,2816,2026-04-16 00:00:00+00:00,2026-04-16,1.00000000,target,1,61.66285714
12119,2026-06-03 08:15:00+00:00,-1.00000000,0.63726519,False,1,4795,2026-04-27 18:25:00+00:00,2026-04-27,-1.00000000,target,1,20.44857143
12119,2026-06-03 08:15:00+00:00,-1.00000000,0.63726519,False,2,1796,2026-04-09 21:20:00+00:00,2026-04-09,1.00000000,stop,0,-42.30142857
12119,2026-06-03 08:15:00+00:00,-1.00000000,0.63726519,False,3,7735,2026-05-11 19:30:00+00:00,2026-05-11,-1.00000000,target,1,44.37714286
12119,2026-06-03 08:15:00+00:00,-1.00000000,0.63726519,False,4,681,2026-04-06 10:10:00+00:00,2026-04-06,-1.00000000,target,1,34.66285714
12119,2026-06-03 08:15:00+00:00,-1.00000000,0.63726519,False,5,3410,2026-04-20 14:05:00+00:00,2026-04-20,1.00000000,stop,0,-32.33714286
11297,2026-05-29 01:15:00+00:00,-1.00000000,0.60318794,False,1,8739,2026-05-14 19:50:00+00:00,2026-05-14,-1.00000000,target,1,36.94857143
11297,2026-05-29 01:15:00+00:00,-1.00000000,0.60318794,False,2,5375,2026-04-29 18:50:00+00:00,2026-04-29,-1.00000000,stop,0,-26.15857143
11297,2026-05-29 01:15:00+00:00,-1.00000000,0.60318794,False,3,3381,2026-04-20 07:05:00+00:00,2026-04-20,-1.00000000,target,1,33.80571429
11297,2026-05-29 01:15:00+00:00,-1.00000000,0.60318794,False,4,6694,2026-05-06 02:20:00+00:00,2026-05-06,1.00000000,stop,0,-19.65857143
11297,2026-05-29 01:15:00+00:00,-1.00000000,0.60318794,False,5,1866,2026-04-10 00:15:00+00:00,2026-04-10,1.00000000,target,1,39.73428571
12623,2026-06-05 13:25:00+00:00,-1.00000000,0.60045915,False,1,1607,2026-04-09 01:55:00+00:00,2026-04-09,-1.00000000,target,1,47.66285714
12623,2026-06-05 13:25:00+00:00,-1.00000000,0.60045915,False,2,6418,2026-05-05 00:15:00+00:00,2026-05-05,1.00000000,target,1,59.52000000
12623,2026-06-05 13:25:00+00:00,-1.00000000,0.60045915,False,3,1130,2026-04-07 23:35:00+00:00,2026-04-08,1.00000000,stop,0,-46.40857143
12623,2026-06-05 13:25:00+00:00,-1.00000000,0.60045915,False,4,3339,2026-04-18 02:05:00+00:00,2026-04-18,-1.00000000,target,1,40.80571429
