period,model,bucket,count,mean_score,actual_rate,brier
development_oof,analog,"(-0.001, 0.2]",582,0.16178354,0.31099656,0.22790641
development_oof,analog,"(0.2, 0.4]",3690,0.30559283,0.32493225,0.22790641
development_oof,analog,"(0.4, 0.6]",1175,0.45560471,0.30382979,0.22790641
development_oof,analog,"(0.6, 0.8]",27,0.63357344,0.22222222,0.22790641
development_oof,gradient_boosted_trees,"(-0.001, 0.2]",224,0.16858571,0.24107143,0.22041695
development_oof,gradient_boosted_trees,"(0.2, 0.4]",4768,0.31337596,0.32277685,0.22041695
development_oof,gradient_boosted_trees,"(0.4, 0.6]",482,0.43688606,0.31120332,0.22041695
development_oof,logistic,"(-0.001, 0.2]",65,0.17195355,0.33846154,0.21921946
development_oof,logistic,"(0.2, 0.4]",5148,0.31079575,0.31993007,0.21921946
development_oof,logistic,"(0.4, 0.6]",254,0.42770235,0.27952756,0.21921946
development_oof,logistic,"(0.6, 0.8]",6,0.71062685,0.50000000,0.21921946
development_oof,logistic,"(0.8, 1.0]",1,0.87231843,0.00000000,0.21921946
final_test,analog,"(-0.001, 0.2]",375,0.13537993,0.16533333,0.19006020
final_test,analog,"(0.2, 0.4]",1250,0.30393052,0.25200000,0.19006020
final_test,analog,"(0.4, 0.6]",344,0.45505705,0.31686047,0.19006020
final_test,analog,"(0.6, 0.8]",7,0.64114075,0.28571429,0.19006020
final_test,gradient_boosted_trees,"(-0.001, 0.2]",609,0.05504474,0.06732348,0.16968690
final_test,gradient_boosted_trees,"(0.2, 0.4]",1358,0.31951423,0.32621502,0.16968690
final_test,gradient_boosted_trees,"(0.4, 0.6]",9,0.41940848,0.44444444,0.16968690
final_test,logistic,"(-0.001, 0.2]",97,0.16948508,0.14432990,0.18611491
final_test,logistic,"(0.2, 0.4]",1834,0.29441523,0.25299891,0.18611491
final_test,logistic,"(0.4, 0.6]",45,0.44616354,0.22222222,0.18611491
validation,analog,"(-0.001, 0.2]",116,0.16511075,0.19827586,0.19835988
validation,analog,"(0.2, 0.4]",983,0.30178444,0.25940997,0.19835988
validation,analog,"(0.4, 0.6]",225,0.45667569,0.28888889,0.19835988
validation,analog,"(0.6, 0.8]",2,0.66626794,0.50000000,0.19835988
validation,gradient_boosted_trees,"(-0.001, 0.2]",85,0.16884845,0.12941176,0.19516556
validation,gradient_boosted_trees,"(0.2, 0.4]",1176,0.31168528,0.27125850,0.19516556
validation,gradient_boosted_trees,"(0.4, 0.6]",65,0.42948690,0.21538462,0.19516556
validation,logistic,"(-0.001, 0.2]",89,0.13232085,0.12359551,0.20773621
validation,logistic,"(0.2, 0.4]",1118,0.30974252,0.28533095,0.20773621
validation,logistic,"(0.4, 0.6]",85,0.46726929,0.12941176,0.20773621
validation,logistic,"(0.6, 0.8]",27,0.66486775,0.11111111,0.20773621
validation,logistic,"(0.8, 1.0]",7,0.84765062,0.00000000,0.20773621
