row_id,decision_time,entry_time,exit_time,trading_day,session_bucket,direction,outcome,target_before_stop,risk_points,gross_r,net_r,gross_pnl,net_pnl,mfe_r,mae_r,formula_signal,model,score,period,fold,filter_model,filter_period,filter_threshold
1000050,2026-04-20 15:28:00+00:00,2026-04-20 15:28:00+00:00,2026-04-20 15:30:00+00:00,2026-04-20,rth_mid_11_00_11_30,1.00000000,target,1,6.00000000,1.83333300,1.50166633,21.99999600,18.01999600,2.20833300,0.00000000,1.00000000,analog,0.45032406,development_oof,wf_1,analog,development_oof,0.44387800
1000054,2026-04-21 22:00:00+00:00,2026-04-21 22:00:00+00:00,2026-04-21 22:02:00+00:00,2026-04-22,overnight,-1.00000000,target,1,21.00000000,1.95238100,1.85761910,82.00000200,78.02000200,2.21428600,-0.71428600,1.00000000,analog,0.44401841,development_oof,wf_1,analog,development_oof,0.44387800
1000056,2026-04-21 23:01:00+00:00,2026-04-21 23:01:00+00:00,2026-04-21 23:12:00+00:00,2026-04-22,overnight,1.00000000,stop,0,25.00000000,-1.04000000,-1.11960000,-52.00000000,-55.98000000,1.03000000,-1.19000000,1.00000000,analog,0.45515884,development_oof,wf_1,analog,development_oof,0.44387800
1000064,2026-04-23 20:36:00+00:00,2026-04-23 20:36:00+00:00,2026-04-23 20:47:00+00:00,2026-04-23,overnight,1.00000000,target,1,23.75000000,1.95789500,1.87410553,93.00001250,89.02001250,2.35789500,-0.43157900,1.00000000,analog,0.46104563,development_oof,wf_1,analog,development_oof,0.44387800
1000067,2026-04-23 22:46:00+00:00,2026-04-23 22:46:00+00:00,2026-04-23 23:05:00+00:00,2026-04-24,overnight,-1.00000000,target,1,24.25000000,1.95876300,1.87670114,95.00000550,91.02000550,2.21649500,-0.36082500,1.00000000,analog,0.44786810,development_oof,wf_1,analog,development_oof,0.44387800
1000069,2026-04-27 13:01:00+00:00,2026-04-27 13:01:00+00:00,2026-04-27 13:03:00+00:00,2026-04-27,overnight,-1.00000000,stop,0,10.00000000,-1.10000000,-1.29900000,-22.00000000,-25.98000000,0.35000000,-1.15000000,1.00000000,analog,0.47522218,development_oof,wf_2,analog,development_oof,0.44387800
1000075,2026-04-27 22:04:00+00:00,2026-04-27 22:04:00+00:00,2026-04-27 22:10:00+00:00,2026-04-28,overnight,-1.00000000,stop,0,21.75000000,-1.04597700,-1.13747125,-45.49999950,-49.47999950,0.49425300,-1.12643700,1.00000000,analog,0.48885828,development_oof,wf_2,analog,development_oof,0.44387800
1000082,2026-04-30 14:10:00+00:00,2026-04-30 14:10:00+00:00,2026-04-30 14:21:00+00:00,2026-04-30,rth_open_09_30_11_00,1.00000000,stop,0,22.75000000,-1.04395600,-1.13142853,-47.49999800,-51.47999800,0.62637400,-1.01098900,1.00000000,analog,0.53585814,development_oof,wf_2,analog,development_oof,0.44387800
1000095,2026-05-04 19:39:00+00:00,2026-05-04 19:39:00+00:00,2026-05-04 19:43:00+00:00,2026-05-04,rth_close_15_00_16_00,1.00000000,stop,0,9.00000000,-1.11111100,-1.33222211,-19.99999800,-23.97999800,1.25000000,-1.16666700,1.00000000,analog,0.53343994,development_oof,wf_3,analog,development_oof,0.44387800
1000102,2026-05-06 22:14:00+00:00,2026-05-06 22:14:00+00:00,2026-05-06 22:16:00+00:00,2026-05-07,overnight,-1.00000000,stop,0,12.00000000,-1.08333300,-1.24916633,-25.99999200,-29.97999200,0.29166700,-1.81250000,1.00000000,analog,0.46825243,development_oof,wf_3,analog,development_oof,0.44387800
