model,period,threshold,trades,targets,win_rate,gross_r,net_r,net_pnl,max_drawdown,positive_days,negative_days,long_trades,short_trades,best_trade_share
analog,development_oof,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
gradient_boosted_trees,development_oof,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
logistic,development_oof,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
analog,validation,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
gradient_boosted_trees,validation,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
logistic,validation,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
analog,final_test,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
gradient_boosted_trees,final_test,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
logistic,final_test,1.10000000,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0.00000000
formula_vwap_delta_rejection,development,,130,43,0.33076923,-1.30835800,-28.84124151,-309.39984850,862.63993450,13,23,66,64,0.00000000
formula_vwap_delta_rejection,validation,,19,12,0.63157895,15.49317500,12.49458943,446.38006300,108.45998450,5,0,10,9,0.23975088
formula_vwap_delta_rejection,final_test,,80,40,0.50000000,36.68340400,20.00402257,845.60005450,208.33994950,7,3,54,26,0.11828286
