dimension,value,period,trades,wins,losses,win_rate,avg_win,avg_loss,payoff_ratio,loss_to_win_size_ratio,gross_profit,gross_loss,profit_factor,expectancy,median_pnl,breakeven_win_rate,edge_margin,largest_winner,largest_loser,largest_winner_share,top_three_winner_share,profit_factor_without_largest_winner,net_pnl,max_drawdown,payoff_ratio_ci_low,payoff_ratio_ci_high,profit_factor_ci_low,profit_factor_ci_high,expectancy_ci_low,expectancy_ci_high,probability_payoff_above_gate,probability_profit_factor_above_gate,probability_positive_expectancy,passes_point_estimate_gate,passes_confidence_gate
direction_label,long,early_development,27,10,17,0.37037037,48.87000220,25.45058815,1.92019147,0.52078140,488.70002200,432.65999850,1.12952439,2.07555643,-14.47999900,0.34244330,0.02792707,91.02000550,51.47999800,0.18624924,0.49122163,0.91915134,56.04002350,183.76000700,1.25321254,2.86787230,0.40412358,2.65720759,-12.53555689,18.16815261,0.96950000,0.42850000,0.58050000,False,False
direction_label,short,early_development,20,10,10,0.50000000,46.82000555,30.47999795,1.53608952,0.65100372,468.20005550,304.79997950,1.53608952,8.17000380,-1.47999900,0.39430785,0.10569215,85.02000200,48.48000750,0.18158905,0.48923536,1.25715249,163.40007600,141.33999150,0.97281389,2.24446391,0.53582349,4.06849973,-10.30499542,27.12000385,0.78950000,0.69550000,0.80600000,True,False
direction_label,long,final_test,54,33,21,0.61111111,47.95939341,26.76571183,1.79182208,0.55809113,1582.65998250,562.07994850,2.81572041,18.89963026,23.52000300,0.35818901,0.25292210,100.01999200,59.97999800,0.06319740,0.18832852,2.63777421,1020.58003400,137.35999450,1.36061085,2.41539009,1.57132347,5.38059356,7.86259306,29.98296198,0.98850000,0.99700000,0.99950000,True,True
direction_label,short,final_test,26,9,17,0.34615385,47.13111183,35.24470506,1.33725369,0.74780127,424.18000650,599.15998600,0.70795783,-6.72999921,-25.97999625,0.42785257,-0.08169873,96.01998400,63.98001400,0.22636612,0.58951380,0.54770016,-174.97997950,344.05997250,0.68396471,2.02286618,0.20221184,1.65646463,-23.28769160,11.00076952,0.53150000,0.12200000,0.22700000,False,False
direction_label,long,late_development,39,13,26,0.33333333,34.17384304,29.88384806,1.14355564,0.87446554,444.25995950,776.98004950,0.57177782,-8.53128436,-19.97999800,0.46651460,-0.13318127,89.02001250,55.98000000,0.20037820,0.48633687,0.45720601,-332.72009000,375.60001700,0.67515302,1.69098842,0.21487024,1.20795700,-19.13384851,2.94307504,0.27550000,0.02650000,0.07300000,False,False
direction_label,short,late_development,44,17,27,0.38636364,38.60823853,31.57258937,1.22284042,0.81776819,656.34005500,852.45991300,0.76993656,-4.45726950,-19.47999800,0.44987485,-0.06351121,91.02000550,55.98000000,0.13867812,0.34442513,0.66316321,-196.11985800,359.09990750,0.88039312,1.62398743,0.35096915,1.50990275,-15.37772344,7.28136740,0.34700000,0.08850000,0.21650000,False,False
direction_label,long,validation,10,10,0,1.00000000,64.02000285,0.00000000,inf,0.00000000,640.20002850,0.00000000,inf,64.02000285,55.51999575,0.00000000,1.00000000,107.02001300,0.00000000,0.16716652,0.48744147,inf,640.20002850,0.00000000,inf,inf,inf,inf,44.92000605,83.81999300,1.00000000,1.00000000,1.00000000,True,False
direction_label,short,validation,9,2,7,0.22222222,47.02000925,41.12285486,1.14340333,0.87458202,94.04001850,287.85998400,0.32668667,-21.53555172,-25.98000000,0.46654775,-0.24432553,61.02001650,60.47998650,0.64887287,1.00000000,0.11470855,-193.81996550,261.87998400,0.00000000,1.90806811,0.00000000,1.33878593,-47.20222022,6.18667133,0.29800000,0.03550000,0.06700000,False,False
volatility_regime,high,early_development,16,6,10,0.37500000,35.93667133,26.68000405,1.34695149,0.74241723,215.62002800,266.80004050,0.80817090,-3.19875078,-14.97999800,0.42608465,-0.05108465,68.02000200,48.98001600,0.31546236,0.71913548,0.55322340,-51.18001250,198.78003850,0.70492773,2.28547471,0.18518276,2.28157199,-19.35500637,12.64500291,0.55900000,0.23300000,0.33700000,False,False
volatility_regime,low,early_development,15,8,7,0.53333333,54.52000600,31.47999450,1.73189376,0.57740262,436.16004800,220.35996150,1.97930715,14.38667243,7.02000200,0.36604645,0.16728689,91.02000550,46.97998000,0.20868488,0.57790719,1.56625569,215.80008650,76.95997200,1.05453181,2.57655549,0.59072738,6.07073945,-8.84666217,38.18667180,0.89950000,0.80350000,0.86750000,True,False
volatility_regime,mid,early_development,16,6,10,0.37500000,50.85333358,25.02999760,2.03169550,0.49219974,305.12000150,250.29997600,1.21901730,3.42625159,-12.22999950,0.32984843,0.04515157,89.02001250,51.47999800,0.29175410,0.66223125,0.86336400,54.82002550,70.83998350,1.21154974,3.41937567,0.29730335,3.91576181,-15.94874575,24.39499884,0.95650000,0.51900000,0.62950000,False,False
volatility_regime,high,final_test,39,28,11,0.71794872,45.12714130,32.11636159,1.40511375,0.71168615,1263.55995650,353.27997750,3.57665318,23.34051228,39.01999750,0.41578075,0.30216797,96.01998400,40.47999950,0.07599163,0.20739814,3.30485747,910.27997900,135.41998200,1.10150187,1.78729566,1.76177567,8.13000360,10.68666528,35.67384362,0.72950000,0.99950000,0.99950000,True,True
volatility_regime,low,final_test,19,6,13,0.31578947,52.18666850,22.71076885,2.29788207,0.43518334,313.12001100,295.23999500,1.06056095,0.94105347,-14.47999900,0.30322491,0.01256456,99.02001250,49.98002000,0.31623662,0.71237862,0.72517275,17.88001600,100.42001400,1.22262933,3.93335444,0.23888302,2.85232307,-16.08526053,19.17789550,0.95800000,0.39350000,0.50850000,False,False
volatility_regime,mid,final_test,22,8,14,0.36363636,53.77000269,36.62285443,1.46820895,0.68110196,430.16002150,512.71996200,0.83897654,-3.75272457,-23.72999900,0.40515208,-0.04151572,100.01999200,63.98001400,0.23251810,0.60921516,0.64389931,-82.55994050,204.63995750,0.80334564,2.29711725,0.25522756,2.18559577,-22.95726884,18.31545543,0.68450000,0.21900000,0.35900000,False,False
