period,slippage_ticks_per_side,trades,wins,losses,win_rate,avg_win,avg_loss,payoff_ratio,loss_to_win_size_ratio,gross_profit,gross_loss,profit_factor,expectancy,median_pnl,breakeven_win_rate,edge_margin,largest_winner,largest_loser,largest_winner_share,top_three_winner_share,profit_factor_without_largest_winner,net_pnl,max_drawdown
early_development,0,47,20,27,0.42553191,47.84500387,27.31333252,1.75170876,0.57087115,956.90007750,737.45997800,1.29756205,4.66893829,-14.47999900,0.36341055,0.06212136,91.02000550,51.47999800,0.09511966,0.27699864,1.17413839,219.44009950,230.05997500
late_development,0,83,30,53,0.36144578,36.68666715,30.74415024,1.19328935,0.83801971,1100.60001450,1629.43996250,0.67544680,-6.37156564,-19.97999800,0.45593619,-0.09449041,91.02000550,55.98000000,0.08270035,0.23447212,0.61958712,-528.83994800,725.01990900
validation,0,19,12,7,0.63157895,61.18667058,41.12285486,1.48789939,0.67208845,734.24004700,287.85998400,2.55068467,23.49368753,36.02000200,0.40194551,0.22963343,107.02001300,60.47998650,0.14575616,0.42501092,2.17890665,446.38006300,108.45998450
final_test,0,80,42,38,0.52500000,47.78190450,30.55894564,1.56359794,0.63955060,2006.83998900,1161.23993450,1.72818720,10.57000068,5.02000200,0.39007677,0.13492323,100.01999200,63.98001400,0.04983955,0.14852206,1.64205513,845.60005450,208.33994950
early_development,1,47,20,27,0.42553191,46.84500387,28.31333252,1.65452102,0.60440453,936.90007750,764.45997800,1.22557113,3.66893829,-15.47999900,0.37671580,0.04881612,90.02000550,52.47999800,0.09608282,0.27970968,1.10781479,172.44009950,252.05997500
late_development,1,83,30,53,0.36144578,35.68666715,31.74415024,1.12419664,0.88952409,1070.60001450,1682.43996250,0.63633772,-7.37156564,-20.97999800,0.47076621,-0.10932043,90.02000550,56.98000000,0.08408370,0.23824025,0.58283210,-611.83994800,774.01990900
validation,1,19,12,7,0.63157895,60.18667058,42.12285486,1.42883645,0.69987016,722.24004700,294.85998400,2.44943392,22.49368753,35.02000200,0.41171978,0.21985917,106.02001300,61.47998650,0.14679332,0.42791873,2.08987339,427.38006300,110.45998450
final_test,1,80,42,38,0.52500000,46.78190450,31.55894564,1.48236589,0.67459728,1964.83998900,1199.23993450,1.63840440,9.57000068,4.02000200,0.40284150,0.12215850,99.01999200,64.98001400,0.05039596,0.15017000,1.55583544,765.60005450,216.33994950
early_development,2,47,20,27,0.42553191,45.84500387,29.31333252,1.56396424,0.63940081,916.90007750,791.45997800,1.15849203,2.66893829,-16.47999900,0.39002104,0.03551087,89.02000550,53.47999800,0.09708801,0.28253899,1.04601634,125.44009950,274.05997500
late_development,2,83,30,53,0.36144578,34.68666715,32.74415024,1.05932409,0.94399817,1040.60001450,1735.43996250,0.59961741,-8.37156564,-21.97999800,0.48559622,-0.12415044,89.02000550,57.98000000,0.08554680,0.24222565,0.54832206,-694.83994800,823.01990900
validation,2,19,12,7,0.63157895,59.18667058,43.12285486,1.37251281,0.72859065,710.24004700,301.85998400,2.35287910,21.49368753,34.02000200,0.42149404,0.21008491,105.02001300,62.47998650,0.14786552,0.43092479,2.00496941,408.38006300,112.45998450
final_test,2,80,42,38,0.52500000,45.78190450,32.55894564,1.40612368,0.71117499,1922.83998900,1237.23993450,1.55413670,8.57000068,3.02000200,0.41560623,0.10939377,98.01999200,65.98001400,0.05097668,0.15188992,1.47491198,685.60005450,224.33994950
early_development,4,47,20,27,0.42553191,43.84500387,31.31333252,1.40020242,0.71418246,876.90007750,845.45997800,1.03718698,0.66893829,-18.47999900,0.41663153,0.00890039,87.02000550,55.47999800,0.09923594,0.28858478,0.93426075,31.44009950,318.05997500
late_development,4,83,30,53,0.36144578,32.68666715,34.74415024,0.94078188,1.06294564,980.60001450,1841.43996250,0.53251805,-10.37156564,-23.97999800,0.51525625,-0.15381047,87.02000550,59.98000000,0.08874159,0.25092802,0.48526155,-860.83994800,921.01990900
validation,4,19,12,7,0.63157895,57.18667058,45.12285486,1.26735489,0.78904497,686.24004700,315.85998400,2.17260838,19.49368753,32.02000200,0.44104256,0.19053639,103.02001300,64.47998650,0.15012241,0.43725230,1.84645116,370.38006300,116.45998450
final_test,4,80,42,38,0.52500000,43.78190450,34.55894564,1.26687616,0.78934313,1838.83998900,1313.23993450,1.40023155,6.57000068,1.02000200,0.44113570,0.08386430,96.01999200,67.98001400,0.05221770,0.15556548,1.32711468,525.60005450,244.29994200
