period,model,dimension,value,trades,target_rate,gross_r,net_r,net_pnl,max_drawdown
development,formula_vwap_delta_rejection,month,2026-04,83,0.36144578,7.44328100,-10.67259993,151.16006550,462.76000950
development,formula_vwap_delta_rejection,month,2026-05,47,0.27659574,-8.75163900,-18.16864157,-460.55991400,589.31992950
final_test,formula_vwap_delta_rejection,month,2026-05,49,0.48979592,22.72665000,12.10333379,552.47999400,166.23998700
final_test,formula_vwap_delta_rejection,month,2026-06,31,0.51612903,13.95675400,7.90068878,293.12006050,208.33994950
validation,formula_vwap_delta_rejection,month,2026-05,19,0.63157895,15.49317500,12.49458943,446.38006300,108.45998450
development,formula_vwap_delta_rejection,session,overnight,107,0.34579439,7.34458500,-12.91893923,-57.35986600,639.97994850
development,formula_vwap_delta_rejection,session,rth_close_15_00_16_00,5,0.20000000,-2.65469800,-3.95754727,-85.40000750,102.42000800
development,formula_vwap_delta_rejection,session,rth_lunch_11_30_13_30,10,0.20000000,-5.90145300,-9.68534673,-113.79998300,157.81998300
development,formula_vwap_delta_rejection,session,rth_mid_11_00_11_30,3,0.33333333,-0.53787900,-1.60825779,-18.44000200,36.45999800
development,formula_vwap_delta_rejection,session,rth_open_09_30_11_00,5,0.40000000,0.44108700,-0.67115048,-34.39999000,76.41999800
final_test,formula_vwap_delta_rejection,session,overnight,65,0.49230769,29.33084400,15.92986979,492.30006500,202.79998150
final_test,formula_vwap_delta_rejection,session,rth_afternoon_13_30_15_00,1,0.00000000,-1.07272700,-1.21745427,-33.47999250,33.47999250
final_test,formula_vwap_delta_rejection,session,rth_close_15_00_16_00,4,0.25000000,-1.74210300,-3.21889027,-52.41997300,62.95997800
final_test,formula_vwap_delta_rejection,session,rth_lunch_11_30_13_30,4,0.50000000,1.56366200,0.69535088,119.57995400,62.46001800
final_test,formula_vwap_delta_rejection,session,rth_mid_11_00_11_30,2,1.00000000,3.85569500,3.56852744,109.04000750,0.00000000
final_test,formula_vwap_delta_rejection,session,rth_open_09_30_11_00,4,0.75000000,4.74803300,4.24661900,210.57999350,27.47999450
validation,formula_vwap_delta_rejection,session,overnight,15,0.73333333,16.72643200,14.19202712,529.80007350,79.95999250
validation,formula_vwap_delta_rejection,session,rth_afternoon_13_30_15_00,1,0.00000000,-1.03669700,-1.10972452,-60.47998650,60.47998650
validation,formula_vwap_delta_rejection,session,rth_close_15_00_16_00,1,0.00000000,-1.03773600,-1.11283034,-58.98000800,58.98000800
validation,formula_vwap_delta_rejection,session,rth_lunch_11_30_13_30,1,0.00000000,-1.10000000,-1.29900000,-25.98000000,25.98000000
validation,formula_vwap_delta_rejection,session,rth_open_09_30_11_00,1,1.00000000,1.94117600,1.82411718,62.01998400,0.00000000
development,formula_vwap_delta_rejection,direction,long,66,0.25757576,-11.20413800,-25.31032109,-276.68006650,540.12009150
development,formula_vwap_delta_rejection,direction,short,64,0.40625000,9.89578000,-3.53092042,-32.71978200,359.09990750
final_test,formula_vwap_delta_rejection,direction,long,54,0.61111111,40.13367900,27.76752046,1020.58003400,137.35999450
final_test,formula_vwap_delta_rejection,direction,short,26,0.26923077,-3.45027500,-7.76349789,-174.97997950,344.05997250
validation,formula_vwap_delta_rejection,direction,long,10,1.00000000,19.25658700,17.77719345,640.20002850,0.00000000
validation,formula_vwap_delta_rejection,direction,short,9,0.22222222,-3.76341200,-5.28260402,-193.81996550,261.87998400
development,formula_vwap_delta_rejection,volatility_regime,high,30,0.26666667,-5.28776800,-11.26553066,-168.39999650,405.10002850
development,formula_vwap_delta_rejection,volatility_regime,low,28,0.46428571,9.28244200,3.15521966,112.06006300,251.79997750
development,formula_vwap_delta_rejection,volatility_regime,mid,72,0.30555556,-5.30303200,-20.73093051,-253.05991500,499.41993850
final_test,formula_vwap_delta_rejection,volatility_regime,high,39,0.66666667,38.99052600,31.57450078,910.27997900,135.41998200
final_test,formula_vwap_delta_rejection,volatility_regime,low,17,0.29411765,-4.33732700,-8.98861128,-22.15999150,126.25998600
final_test,formula_vwap_delta_rejection,volatility_regime,mid,24,0.37500000,2.03020500,-2.58186694,-42.51993300,200.38000850
validation,formula_vwap_delta_rejection,volatility_regime,high,12,0.75000000,14.10318900,12.31853197,399.74004400,58.98000800
validation,formula_vwap_delta_rejection,volatility_regime,low,1,0.00000000,-1.04123700,-1.12329886,-54.47999450,54.47999450
validation,formula_vwap_delta_rejection,volatility_regime,mid,6,0.50000000,2.43122300,1.29935632,101.12001350,74.95998550
