dimension,value,period,trades,profitable_rate,net_pnl,avg_net_pnl,median_net_pnl,max_drawdown,positive_days,negative_days,best_day,best_day_pnl,best_day_share,leave_best_day_out_pnl
direction_label,long,early_development,27,0.37037037,56.04002350,2.07555643,-14.47999900,183.76000700,6,6,2026-04-08,119.04001450,2.12419637,-62.99999100
direction_label,short,early_development,20,0.50000000,163.40007600,8.17000380,-1.47999900,141.33999150,8,4,2026-04-03,66.04002000,0.40416150,97.36005600
direction_label,long,final_test,54,0.61111111,1020.58003400,18.89963026,23.52000300,137.35999450,8,2,2026-05-28,441.79999050,0.43289108,578.78004350
direction_label,short,final_test,26,0.34615385,-174.97997950,-6.72999921,-25.97999625,344.05997250,3,5,2026-06-04,93.62000300,0.00000000,-268.59998250
direction_label,long,late_development,39,0.33333333,-332.72009000,-8.53128436,-19.97999800,375.60001700,5,12,2026-04-23,121.07996450,0.00000000,-453.80005450
direction_label,short,late_development,44,0.38636364,-196.11985800,-4.45726950,-19.47999800,359.09990750,7,13,2026-04-24,132.04001450,0.00000000,-328.15987250
direction_label,long,validation,10,1.00000000,640.20002850,64.02000285,55.51999575,0.00000000,4,0,2026-05-19,287.10000950,0.44845360,353.10001900
direction_label,short,validation,9,0.22222222,-193.81996550,-21.53555172,-25.98000000,261.87998400,1,3,2026-05-21,9.56001850,0.00000000,-203.37998400
volatility_regime,high,early_development,16,0.37500000,-51.18001250,-3.19875078,-14.97999800,198.78003850,4,4,2026-04-07,65.04001400,0.00000000,-116.22002650
volatility_regime,low,early_development,15,0.53333333,215.80008650,14.38667243,7.02000200,76.95997200,5,4,2026-04-15,96.04000400,0.44504155,119.76008250
volatility_regime,mid,early_development,16,0.37500000,54.82002550,3.42625159,-12.22999950,70.83998350,3,8,2026-04-06,105.04000050,1.91608814,-50.21997500
volatility_regime,high,final_test,39,0.71794872,910.27997900,23.34051228,39.01999750,135.41998200,6,2,2026-05-28,466.88001400,0.51289716,443.39996500
volatility_regime,low,final_test,19,0.31578947,17.88001600,0.94105347,-14.47999900,100.42001400,3,4,2026-06-01,70.04000900,3.91722295,-52.15999300
volatility_regime,mid,final_test,22,0.36363636,-82.55994050,-3.75272457,-23.72999900,204.63995750,4,6,2026-06-05,117.06001500,0.00000000,-199.61995550
volatility_regime,high,late_development,24,0.33333333,-212.02000500,-8.83416688,-19.47999800,364.18000200,8,6,2026-04-24,91.02000550,0.00000000,-303.04001050
volatility_regime,low,late_development,25,0.56000000,54.00000400,2.16000016,11.02000100,215.71997900,9,9,2026-04-22,78.02000200,1.44481474,-24.01999800
volatility_regime,mid,late_development,34,0.23529412,-370.81994700,-10.90646903,-25.47999925,501.57995650,4,12,2026-04-23,104.57998800,0.00000000,-475.39993500
volatility_regime,high,validation,12,0.75000000,399.74004400,33.31167033,37.52000375,58.98000800,4,0,2026-05-19,180.14000350,0.45064288,219.60004050
volatility_regime,low,validation,1,0.00000000,-54.47999450,-54.47999450,-54.47999450,54.47999450,0,1,2026-05-20,-54.47999450,0.00000000,0.00000000
