comparison,feature,development_median,comparison_median,standardized_mean_difference,ks_statistic,ks_pvalue,psi
validation,risk_points,12.25000000,16.75000000,0.60864583,0.32226721,0.04896812,2.87097914
validation,atr_14,11.79464286,52.69642857,1.50685467,0.78947368,0.00000000,8.49446199
validation,rv_15m_atr,0.59490091,0.79467287,1.27189799,0.49180328,0.00051862,4.33744971
validation,range_1m_atr,1.41936397,0.67039801,-1.31514171,0.65142364,0.00000030,4.64755322
validation,signed_ret_1m,0.00032105,0.00024773,-0.39856451,0.35951417,0.01985228,4.14572299
validation,signed_ret_5m,0.00058646,0.00121987,0.23961200,0.36225329,0.01856061,5.16441422
validation,signed_ret_15m,0.00055634,0.00056214,0.24743544,0.17941712,0.62670813,1.50521926
validation,signed_ret_60m,0.00038304,0.00180302,0.51809984,0.36601307,0.02705943,2.78866847
validation,signed_dist_vwap_atr,1.03807600,0.70775537,-0.17537127,0.25582399,0.19242514,3.71873057
validation,volume_ratio_20,1.56354132,1.27856422,-0.80011918,0.41285591,0.00469892,2.90247602
validation,trades_ratio_20,1.54065356,1.28380750,-0.81793443,0.43270060,0.00257197,4.06438711
validation,signed_delta_pct,0.19371796,0.13796791,-0.91848317,0.35951417,0.01985228,2.96900921
validation,signed_delta_ratio_20,2.16033093,1.49738828,-0.58028994,0.36842105,0.01624952,1.58133131
validation,spread_atr,0.03745529,0.01044776,-1.30714436,0.78472821,0.00000000,9.56783681
validation,quote_ratio_20,1.28545863,1.15759242,-0.69251330,0.36842105,0.01624952,0.50727262
validation,signed_depth_imbalance,-0.00456604,0.01911064,0.13352463,0.30607287,0.07020371,3.87205193
validation,signed_depth_imbalance_change,0.00658889,0.01586972,-0.01720045,0.14696356,0.81151164,1.34880741
validation,signed_depth_imbalance_persist_10,0.00000000,-0.00421011,-0.09971884,0.21964360,0.34648436,5.03437116
validation,depth_ratio_20,1.01682516,1.01401075,-0.56596354,0.35382574,0.02423691,3.92703686
validation,signed_book_slope,0.01091034,-0.01288456,-0.26481208,0.35829960,0.02050514,3.91811421
validation,signed_nq_ret_1m,0.00032098,-0.00002573,-0.86366096,0.52631579,0.00008899,3.16311596
validation,signed_nq_ret_5m,0.00056773,-0.00014528,-0.41356400,0.43256579,0.00246851,5.45225293
validation,signed_mnq_nq_div_1m,0.00000000,0.00000859,0.37292053,0.31578947,0.05672001,4.19743046
validation,trade_live_ratio,0.00000000,0.60000000,1.53245631,0.57894737,0.00000964,7.51142424
validation,quote_live_ratio,0.00000000,0.40000000,1.46941408,0.57894737,0.00000964,7.51142424
validation,depth_live_ratio,0.00000000,0.23333333,1.32321460,0.63157895,0.00000078,8.21343683
validation,quality_ratio_60,1.00000000,0.99166667,0.19500822,0.31196581,0.07781522,1.19449686
final_test,risk_points,12.25000000,12.87500000,0.08706159,0.07980769,0.88157399,0.15271067
final_test,atr_14,11.79464286,21.91071429,0.80874686,0.47445949,0.00000000,3.22419369
final_test,rv_15m_atr,0.59490091,0.70305785,0.86090474,0.39344262,0.00000140,1.04751654
final_test,range_1m_atr,1.41936397,1.05421687,-0.79750326,0.43288192,0.00000006,1.97236917
final_test,signed_ret_1m,0.00032105,0.00025477,-0.09375511,0.22307692,0.01340591,0.66384430
final_test,signed_ret_5m,0.00058646,0.00045908,-0.01260396,0.12976867,0.35143381,0.27461842
final_test,signed_ret_15m,0.00055634,0.00045560,-0.01016369,0.09437939,0.77958435,0.24857897
final_test,signed_ret_60m,0.00038304,0.00069352,0.39800447,0.18632479,0.09614980,0.39982637
final_test,signed_dist_vwap_atr,1.03807600,0.79199549,-0.09557247,0.25196009,0.00577064,0.66835740
final_test,volume_ratio_20,1.56354132,1.43729877,-0.27707115,0.24180328,0.00661859,0.45986677
final_test,trades_ratio_20,1.54065356,1.44418188,-0.30190081,0.26488352,0.00212259,0.50872856
final_test,signed_delta_pct,0.19371796,0.17175854,-0.40266294,0.20576923,0.02553298,0.34397321
final_test,signed_delta_ratio_20,2.16033093,1.81261026,-0.29425302,0.24201898,0.00654727,0.34908004
final_test,spread_atr,0.03745529,0.02819964,-0.24196215,0.35531005,0.00001766,1.96021148
final_test,quote_ratio_20,1.28545863,1.22698566,-0.29493761,0.23684211,0.00833603,0.50201549
final_test,signed_depth_imbalance,-0.00456604,-0.00836220,0.02561954,0.11153846,0.52734963,0.19957655
final_test,signed_depth_imbalance_change,0.00658889,-0.00562112,-0.02862336,0.10769231,0.57154300,0.24551009
final_test,signed_depth_imbalance_persist_10,0.00000000,-0.00649792,0.00826647,0.15737937,0.15991566,0.40490729
final_test,depth_ratio_20,1.01682516,1.04790716,0.18075700,0.23905352,0.00793369,2.06597713
final_test,signed_book_slope,0.01091034,0.00999797,-0.24259653,0.22788462,0.00960356,1.55164574
final_test,signed_nq_ret_1m,0.00032098,0.00025471,-0.23679326,0.23076923,0.00945140,0.58284010
final_test,signed_nq_ret_5m,0.00056773,0.00046335,-0.05807185,0.14262821,0.24707605,0.36956784
final_test,signed_mnq_nq_div_1m,0.00000000,0.00000000,0.07122569,0.15384615,0.18148366,1.43320650
final_test,trade_live_ratio,0.00000000,1.00000000,2.22043939,0.73750000,0.00000000,10.63610738
final_test,quote_live_ratio,0.00000000,1.00000000,2.20369865,0.73750000,0.00000000,10.63610738
final_test,depth_live_ratio,0.00000000,1.00000000,2.15842594,0.73750000,0.00000000,10.57385213
final_test,quality_ratio_60,1.00000000,1.00000000,0.13871174,0.18119658,0.11306387,0.17347231
