period,feature,spearman_net_pnl,spearman_pvalue,profitable_median,unprofitable_median
early_development,risk_points,0.09524361,0.52423886,14.12500000,11.75000000
early_development,atr_14,-0.06460504,0.68439130,11.14285714,11.41071429
early_development,rv_15m_atr,-0.13155016,0.40629476,0.59759137,0.59793254
early_development,range_1m_atr,0.16016211,0.31096258,1.59188094,1.39817316
early_development,signed_ret_1m,0.06806419,0.64940617,0.00043956,0.00030932
early_development,signed_ret_5m,0.02566080,0.86557791,0.00064772,0.00040493
early_development,signed_ret_15m,-0.02528875,0.87369314,0.00053288,0.00042096
early_development,signed_ret_60m,-0.15577348,0.33713893,0.00002056,0.00079857
early_development,signed_dist_vwap_atr,0.14070923,0.37410326,1.40056126,1.06947728
early_development,volume_ratio_20,0.22006080,0.16140801,1.76933549,1.52233482
early_development,trades_ratio_20,0.23092200,0.14119613,1.77342219,1.54923068
early_development,signed_delta_pct,-0.04383403,0.76985882,0.19371796,0.20122129
early_development,signed_delta_ratio_20,-0.00016211,0.99918706,2.04987602,2.18003213
early_development,spread_atr,0.04036474,0.79964831,0.04178394,0.03700295
early_development,quote_ratio_20,0.13017224,0.41127153,1.40453035,1.29723575
early_development,signed_depth_imbalance,0.03001301,0.84127468,-0.04458627,-0.03017002
early_development,signed_depth_imbalance_change,-0.00306491,0.98368742,-0.01996660,-0.00303254
early_development,signed_depth_imbalance_persist_10,0.11932923,0.43494673,-0.00420265,-0.01052793
early_development,depth_ratio_20,0.05706181,0.71964348,1.03114852,1.01593676
early_development,signed_book_slope,-0.02347839,0.87552310,0.02195067,0.02498578
early_development,signed_nq_ret_1m,0.09530143,0.52398590,0.00049878,0.00029280
early_development,signed_nq_ret_5m,0.02942447,0.84608490,0.00068884,0.00036340
early_development,signed_mnq_nq_div_1m,-0.01165784,0.93800893,-0.00000985,-0.00000944
early_development,trade_live_ratio,0.00000000,1.00000000,0.00000000,0.00000000
early_development,quote_live_ratio,0.00000000,1.00000000,0.00000000,0.00000000
early_development,depth_live_ratio,0.00000000,1.00000000,0.00000000,0.00000000
early_development,quality_ratio_60,-0.04269466,0.79364411,1.00000000,1.00000000
late_development,risk_points,-0.32537629,0.00268661,12.25000000,12.00000000
late_development,atr_14,-0.20264583,0.07142796,12.46428571,12.21428571
late_development,rv_15m_atr,-0.14832573,0.18916197,0.57458262,0.59925319
late_development,range_1m_atr,-0.12224300,0.28004250,1.44040151,1.36470588
late_development,signed_ret_1m,-0.30443751,0.00513811,0.00026151,0.00027771
late_development,signed_ret_5m,-0.01456485,0.89666736,0.00063951,0.00051346
late_development,signed_ret_15m,-0.06770412,0.55069520,0.00054716,0.00064879
late_development,signed_ret_60m,-0.18374001,0.10968926,-0.00024848,0.00050272
late_development,signed_dist_vwap_atr,-0.20074908,0.07417711,0.94442157,1.02159417
late_development,volume_ratio_20,0.04022015,0.72317284,1.54941281,1.56257914
late_development,trades_ratio_20,0.01957670,0.86315452,1.53136356,1.53204794
late_development,signed_delta_pct,0.02290381,0.83716115,0.20216182,0.18220947
late_development,signed_delta_ratio_20,0.00811202,0.94306719,2.50029624,1.99724138
late_development,spread_atr,0.15902844,0.15883770,0.03364341,0.03746688
late_development,quote_ratio_20,0.00853403,0.94011069,1.26932315,1.26549045
late_development,signed_depth_imbalance,-0.11135138,0.31624930,0.00312736,0.01249390
late_development,signed_depth_imbalance_change,0.12444104,0.26233821,0.01926417,0.01049007
late_development,signed_depth_imbalance_persist_10,-0.09212632,0.41040294,0.00425021,0.00082573
late_development,depth_ratio_20,0.10380800,0.36894949,1.01776586,1.01296062
late_development,signed_book_slope,-0.02111981,0.84969020,-0.00451631,0.01577366
late_development,signed_nq_ret_1m,-0.32141602,0.00304779,0.00026575,0.00028614
late_development,signed_nq_ret_5m,-0.01910412,0.86473105,0.00063950,0.00055179
