rule,period,trades,profitable_rate,net_pnl,avg_net_pnl,median_net_pnl,max_drawdown,positive_days,negative_days,best_day,best_day_pnl,best_day_share,leave_best_day_out_pnl,chronologically_eligible
all,early_development,47,0.42553191,219.44009950,4.66893829,-14.47999900,230.05997500,8,6,2026-04-08,170.08000450,0.77506347,49.36009500,False
all,late_development,83,0.36144578,-528.83994800,-6.37156564,-19.97999800,725.01990900,5,17,2026-04-24,184.06000050,0.00000000,-712.89994850,False
all,validation,19,0.63157895,446.38006300,23.49368753,36.02000200,108.45998450,5,0,2026-05-20,200.58003850,0.44934811,245.80002450,False
all,final_test,80,0.52500000,845.60005450,10.57000068,5.02000200,208.33994950,7,3,2026-05-28,383.42000200,0.45342949,462.18005250,False
long_only,early_development,27,0.37037037,56.04002350,2.07555643,-14.47999900,183.76000700,6,6,2026-04-08,119.04001450,2.12419637,-62.99999100,False
long_only,late_development,39,0.33333333,-332.72009000,-8.53128436,-19.97999800,375.60001700,5,12,2026-04-23,121.07996450,0.00000000,-453.80005450,False
long_only,validation,10,1.00000000,640.20002850,64.02000285,55.51999575,0.00000000,4,0,2026-05-19,287.10000950,0.44845360,353.10001900,False
long_only,final_test,54,0.61111111,1020.58003400,18.89963026,23.52000300,137.35999450,8,2,2026-05-28,441.79999050,0.43289108,578.78004350,False
short_only,early_development,20,0.50000000,163.40007600,8.17000380,-1.47999900,141.33999150,8,4,2026-04-03,66.04002000,0.40416150,97.36005600,False
short_only,late_development,44,0.38636364,-196.11985800,-4.45726950,-19.47999800,359.09990750,7,13,2026-04-24,132.04001450,0.00000000,-328.15987250,False
short_only,validation,9,0.22222222,-193.81996550,-21.53555172,-25.98000000,261.87998400,1,3,2026-05-21,9.56001850,0.00000000,-203.37998400,False
short_only,final_test,26,0.34615385,-174.97997950,-6.72999921,-25.97999625,344.05997250,3,5,2026-06-04,93.62000300,0.00000000,-268.59998250,False
overnight_only,early_development,41,0.46341463,316.82009400,7.72731937,-14.47999900,206.07997700,9,5,2026-04-08,170.08000450,0.53683465,146.74008950,False
overnight_only,late_development,66,0.37878788,-374.17996000,-5.66939333,-22.22999800,508.31992500,6,16,2026-04-24,184.06000050,0.00000000,-558.23996050,False
overnight_only,validation,15,0.73333333,529.80007350,35.32000490,37.02000550,79.95999250,5,0,2026-05-19,224.64001250,0.42400902,305.16006100,False
overnight_only,final_test,65,0.52307692,492.30006500,7.57384715,5.02000200,202.79998150,6,4,2026-05-28,383.42000200,0.77883395,108.88006300,False
rth_only,early_development,6,0.16666667,-97.37999450,-16.22999908,-19.22999850,97.37999450,1,3,2026-04-09,17.02000050,0.00000000,-114.39999500,False
rth_only,late_development,17,0.29411765,-154.65998800,-9.09764635,-16.97999800,222.25999400,3,3,2026-05-14,44.02000000,0.00000000,-198.67998800,False
rth_only,validation,4,0.25000000,-83.42001050,-20.85500262,-42.48000400,145.43999450,1,2,2026-05-18,1.53999750,0.00000000,-84.96000800,False
rth_only,final_test,15,0.53333333,353.29998950,23.55333263,25.02000400,111.93996700,3,3,2026-05-29,206.57998100,0.58471550,146.72000850,False
low_volatility,early_development,15,0.53333333,215.80008650,14.38667243,7.02000200,76.95997200,5,4,2026-04-15,96.04000400,0.44504155,119.76008250,False
low_volatility,late_development,25,0.56000000,54.00000400,2.16000016,11.02000100,215.71997900,9,9,2026-04-22,78.02000200,1.44481474,-24.01999800,False
low_volatility,validation,1,0.00000000,-54.47999450,-54.47999450,-54.47999450,54.47999450,0,1,2026-05-20,-54.47999450,0.00000000,0.00000000,False
low_volatility,final_test,19,0.31578947,17.88001600,0.94105347,-14.47999900,100.42001400,3,4,2026-06-01,70.04000900,3.91722295,-52.15999300,False
mid_volatility,early_development,11,0.36363636,-17.27996750,-1.57090614,-14.47999900,96.93997650,3,6,2026-04-08,89.02001250,0.00000000,-106.29998000,False
mid_volatility,late_development,31,0.22580645,-351.37995200,-11.33483716,-26.48000050,450.11995850,4,12,2026-04-23,104.57998800,0.00000000,-455.95994000,False
mid_volatility,validation,5,0.40000000,-5.89999950,-1.17999990,-14.47999900,100.93998550,1,2,2026-05-18,34.55999950,0.00000000,-40.45999900,False
mid_volatility,final_test,10,0.30000000,-67.29996200,-6.72999620,-20.72999900,130.87995800,2,5,2026-05-29,100.01999200,0.00000000,-167.31995400,False
high_volatility,early_development,16,0.37500000,-51.18001250,-3.19875078,-14.97999800,198.78003850,4,4,2026-04-07,65.04001400,0.00000000,-116.22002650,False
high_volatility,late_development,24,0.33333333,-212.02000500,-8.83416688,-19.47999800,364.18000200,8,6,2026-04-24,91.02000550,0.00000000,-303.04001050,False
high_volatility,validation,12,0.75000000,399.74004400,33.31167033,37.52000375,58.98000800,4,0,2026-05-19,180.14000350,0.45064288,219.60004050,False
high_volatility,final_test,39,0.71794872,910.27997900,23.34051228,39.01999750,135.41998200,6,2,2026-05-28,466.88001400,0.51289716,443.39996500,False
long_high_volatility,early_development,11,0.27272727,-120.78002300,-10.98000209,-18.98001200,203.34003500,3,3,2026-04-06,31.02001800,0.00000000,-151.80004100,False
long_high_volatility,late_development,11,0.27272727,-208.78002500,-18.98000227,-21.47999600,266.36001800,3,5,2026-05-14,44.02000000,0.00000000,-252.80002500,False
long_high_volatility,validation,8,1.00000000,471.16003150,58.89500394,43.52000475,0.00000000,3,0,2026-05-19,287.10000950,0.60934712,184.06002200,False
long_high_volatility,final_test,28,0.78571429,795.05996500,28.39499875,40.51999900,74.45999500,6,2,2026-05-28,461.27998850,0.58018264,333.77997650,False
mostly_live_depth,early_development,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,0.00000000,0.00000000,0.00000000,False
mostly_live_depth,late_development,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,0.00000000,0.00000000,0.00000000,False
mostly_live_depth,validation,7,0.57142857,136.14000150,19.44857164,36.02000200,84.96000800,2,1,2026-05-19,126.09999950,0.92625237,10.04000200,False
mostly_live_depth,final_test,55,0.49090909,509.60011550,9.26545665,-1.98000050,155.29998150,5,4,2026-05-29,217.67998100,0.42715842,291.92013450,False
mostly_replay_depth,early_development,47,0.42553191,219.44009950,4.66893829,-14.47999900,230.05997500,8,6,2026-04-08,170.08000450,0.77506347,49.36009500,False
mostly_replay_depth,late_development,83,0.36144578,-528.83994800,-6.37156564,-19.97999800,725.01990900,5,17,2026-04-24,184.06000050,0.00000000,-712.89994850,False
mostly_replay_depth,validation,12,0.66666667,310.24006150,25.85333846,35.52000200,79.95999250,4,0,2026-05-20,200.58003850,0.64653171,109.66002300,False
mostly_replay_depth,final_test,25,0.60000000,335.99993900,13.43999756,28.02000100,104.94001200,6,2,2026-05-28,168.61994100,0.50184515,167.37999800,False
higher_volume,early_development,23,0.47826087,175.46006350,7.62869841,-9.98000000,118.87997700,8,4,2026-04-08,85.06000250,0.48478270,90.40006100,False
higher_volume,late_development,38,0.34210526,-207.23997200,-5.45368347,-23.22999800,408.05995000,6,10,2026-04-24,143.03999150,0.00000000,-350.27996350,False
higher_volume,validation,3,0.33333333,24.06002700,8.02000900,-14.47999900,74.95998550,1,2,2026-05-20,99.02001250,4.11554037,-74.95998550,False
higher_volume,final_test,35,0.34285714,-66.80001500,-1.90857186,-19.47999800,200.63997950,5,5,2026-05-28,98.21999700,0.00000000,-165.02001200,False
higher_signed_delta,early_development,24,0.41666667,101.98004850,4.24916869,-12.22999950,211.38001150,8,4,2026-04-06,63.02000050,0.61796402,38.96004800,False
higher_signed_delta,late_development,41,0.39024390,-368.67997250,-8.99219445,-18.48000000,419.23996800,5,12,2026-04-24,93.03999500,0.00000000,-461.71996750,False
higher_signed_delta,validation,7,0.42857143,42.64003650,6.09143379,-14.47999900,60.47998650,2,2,2026-05-20,99.02001250,2.32223095,-56.37997600,False
higher_signed_delta,final_test,33,0.48484848,143.16007650,4.33818414,-1.98000050,142.85998950,5,3,2026-05-28,104.14002500,0.72743762,39.02005150,False
