source_file,source_row,family,variant,candidate_id,status_raw,net_dollars,profit_factor,max_drawdown_dollars,trades,largest_winner_share,net_without_largest,triage_score,suggested_status,score_reasons,missing_required_metrics,status_cap_reasons,suggested_status_rank
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,0,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:0,pass,2478.481428571427,1.311161675972263,1015.3842857142828,66.0,0.3643832600261576,1575.3642857142822,118.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,positive_ex_largest,largest_share_ok,source_status_positive,capped_from_primary_validation_candidate_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,13,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:13,pass,2412.481428571427,1.30139995220398,1023.3842857142828,66.0,0.3739374455584273,1510.3642857142822,118.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,positive_ex_largest,largest_share_ok,source_status_positive,capped_from_primary_validation_candidate_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,26,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:26,pass,2346.481428571427,1.291732893426025,1031.384285714283,66.0,0.3840290964526228,1445.3642857142822,118.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,positive_ex_largest,largest_share_ok,source_status_positive,capped_from_primary_validation_candidate_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,2,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:2,,1020.580034,2.81572041,137.3599945,54.0,0.0631974,,90.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,3,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:3,,845.6000545,1.7281872,208.3399495,80.0,0.04983955,,90.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/period_payoff.csv,3,unknown_other,period_payoff,unknown_other:period_payoff:reports/pattern_ml_20260612/payoff_asymmetry/period_payoff.csv:3,,845.6000545,1.7281872,208.3399495,80.0,0.04983955,,90.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,7,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:7,,765.6000545,1.6384044,216.3399495,80.0,0.05039596,,90.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,11,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:11,,685.6000545,1.5541367,224.3399495,80.0,0.05097668,,90.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,15,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:15,,525.6000545,1.40023155,244.299942,80.0,0.0522177,,90.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,27,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:27,,509.6001155,1.68777519,155.2999815,55.0,0.07998144,,90.0,diagnostic_only,"positive_net,pf_primary_level,sample_primary_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
